#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
#    r [Mpc/h]            Xi_L              E_0c_lin             E_0_lin             E_2_lin           E_0c_loop_22         E_0c_loop_13         E_0_loop_22         E_0_loop_13         E_2_loop            E_1_loop            E_3_loop            U10_lin             U10_loop            U20_loop            U11_loop            X10_loop            Y10_loop     #
#----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------#
 1.284229312E-04     2.751914272E+02     1.075251633E+02     1.075267743E+02     3.560938126E-07     3.723247692E+00     1.931326039E+01     3.726631100E+00     1.932310595E+01     1.798101286E-05     1.798101286E-05     4.149978396E-08    -3.193055191E-09    -1.305532344E-02    -3.060708521E-01    -1.264658027E+00    -1.308645193E+00    -2.570195507E-03     7.681985060E-05
 1.291468995E-04     2.747347642E+02     1.075251633E+02     1.075267743E+02     3.595299560E-07     3.723247692E+00     1.931326039E+01     3.726630939E+00     1.932310710E+01     1.812023187E-05     1.812023187E-05     4.167619826E-08    -3.235446533E-09    -1.310731347E-02    -3.067106491E-01    -1.267215540E+00    -1.311324928E+00    -2.592387919E-03     7.730504427E-05
 1.298749492E-04     2.742787954E+02     1.075251633E+02     1.075267743E+02     3.629991877E-07     3.723247692E+00     1.931326039E+01     3.726630772E+00     1.932310524E+01     1.826052745E-05     1.826052745E-05     4.185284647E-08    -3.278400668E-09    -1.315950798E-02    -3.073517671E-01    -1.269778109E+00    -1.314010067E+00    -2.565467357E-03     7.779330242E-05
 1.306071031E-04     2.738235202E+02     1.075251633E+02     1.075267743E+02     3.665018217E-07     3.723247692E+00     1.931326039E+01     3.726630608E+00     1.932310394E+01     1.840190790E-05     1.840190790E-05     4.202974048E-08    -3.321925066E-09    -1.321190740E-02    -3.079941895E-01    -1.272345744E+00    -1.316700318E+00    -2.592947457E-03     7.828464440E-05
 1.313433845E-04     2.733689360E+02     1.075251633E+02     1.075267743E+02     3.700381799E-07     3.723247692E+00     1.931326039E+01     3.726630449E+00     1.932310532E+01     1.854438160E-05     1.854438160E-05     4.220673679E-08    -3.366027299E-09    -1.326451288E-02    -3.086379380E-01    -1.274918453E+00    -1.319396104E+00    -2.566985959E-03     7.877908970E-05
 1.320838166E-04     2.729150444E+02     1.075251633E+02     1.075267742E+02     3.736085907E-07     3.723247692E+00     1.931326039E+01     3.726630295E+00     1.932310491E+01     1.868795698E-05     1.868795698E-05     4.238412000E-08    -3.410715037E-09    -1.331732488E-02    -3.092829960E-01    -1.277496246E+00    -1.322097517E+00    -2.587388479E-03     7.927665791E-05
 1.328284227E-04     2.724618408E+02     1.075251633E+02     1.075267742E+02     3.772133769E-07     3.723247692E+00     1.931326039E+01     3.726630139E+00     1.932310261E+01     1.883264254E-05     1.883264254E-05     4.256156499E-08    -3.455996055E-09    -1.337034447E-02    -3.099293850E-01    -1.280079132E+00    -1.324804155E+00    -2.580045970E-03     7.977736876E-05
 1.335772265E-04     2.720093282E+02     1.075251633E+02     1.075267742E+02     3.808528710E-07     3.723247692E+00     1.931326039E+01     3.726629977E+00     1.932310290E+01     1.897844686E-05     1.897844686E-05     4.273925285E-08    -3.501878229E-09    -1.342357225E-02    -3.105770889E-01    -1.282667121E+00    -1.327516094E+00    -2.571585515E-03     8.028124210E-05
 1.343302516E-04     2.715575012E+02     1.075251633E+02     1.075267742E+02     3.845273988E-07     3.723247692E+00     1.931326039E+01     3.726629807E+00     1.932310384E+01     1.912537856E-05     1.912537856E-05     4.291714567E-08    -3.548369539E-09    -1.347700913E-02    -3.112261287E-01    -1.285260221E+00    -1.330233756E+00    -2.589530973E-03     8.078829789E-05
 1.350875217E-04     2.711063629E+02     1.075251633E+02     1.075267742E+02     3.882373043E-07     3.723247692E+00     1.931326039E+01     3.726629632E+00     1.932310191E+01     1.927344636E-05     1.927344636E-05     4.309517239E-08    -3.595478073E-09    -1.353065590E-02    -3.118764887E-01    -1.287858444E+00    -1.332956867E+00    -2.567266679E-03     8.129855625E-05
 1.358490609E-04     2.706559084E+02     1.075251633E+02     1.075267742E+02     3.919829284E-07     3.723247692E+00     1.931326039E+01     3.726629460E+00     1.932310077E+01     1.942265901E-05     1.942265901E-05     4.327337443E-08    -3.643212024E-09    -1.358451329E-02    -3.125281896E-01    -1.290461797E+00    -1.335685179E+00    -2.590816112E-03     8.181203740E-05
 1.366148932E-04     2.702061402E+02     1.075251633E+02     1.075267742E+02     3.957646074E-07     3.723247692E+00     1.931326039E+01     3.726629292E+00     1.932310209E+01     1.957302535E-05     1.957302535E-05     4.345164571E-08    -3.691579697E-09    -1.363858228E-02    -3.131812159E-01    -1.293070291E+00    -1.338419116E+00    -2.567725176E-03     8.232876169E-05
 1.373850427E-04     2.697570540E+02     1.075251633E+02     1.075267742E+02     3.995826917E-07     3.723247692E+00     1.931326039E+01     3.726629129E+00     1.932310149E+01     1.972455430E-05     1.972455430E-05     4.363013845E-08    -3.740589504E-09    -1.369286342E-02    -3.138355882E-01    -1.295683934E+00    -1.341158726E+00    -2.584169452E-03     8.284874960E-05
 1.381595339E-04     2.693086513E+02     1.075251633E+02     1.075267742E+02     4.034375309E-07     3.723247692E+00     1.931326039E+01     3.726628964E+00     1.932309929E+01     1.987725480E-05     1.987725480E-05     4.380870665E-08    -3.790249971E-09    -1.374735786E-02    -3.144912911E-01    -1.298302737E+00    -1.343903629E+00    -2.581550869E-03     8.337202176E-05
 1.389383912E-04     2.688609295E+02     1.075251633E+02     1.075267741E+02     4.073294782E-07     3.723247692E+00     1.931326039E+01     3.726628792E+00     1.932309968E+01     2.003113592E-05     2.003113592E-05     4.398750339E-08    -3.840569735E-09    -1.380206606E-02    -3.151483451E-01    -1.300926708E+00    -1.346653934E+00    -2.568082571E-03     8.389859890E-05
 1.397216391E-04     2.684138881E+02     1.075251633E+02     1.075267741E+02     4.112588905E-07     3.723247692E+00     1.931326039E+01     3.726628614E+00     1.932310042E+01     2.018620675E-05     2.018620675E-05     4.416625017E-08    -3.891557550E-09    -1.385698920E-02    -3.158067350E-01    -1.303555858E+00    -1.349410025E+00    -2.591821425E-03     8.442850190E-05
 1.405093026E-04     2.679675269E+02     1.075251633E+02     1.075267741E+02     4.152261215E-07     3.723247692E+00     1.931326039E+01     3.726628430E+00     1.932309841E+01     2.034247649E-05     2.034247649E-05     4.434523032E-08    -3.943222285E-09    -1.391212776E-02    -3.164664811E-01    -1.306190195E+00    -1.352171615E+00    -2.562759718E-03     8.496175176E-05
 1.413014064E-04     2.675218431E+02     1.075251633E+02     1.075267741E+02     4.192315401E-07     3.723247692E+00     1.931326039E+01     3.726628249E+00     1.932309742E+01     2.049995437E-05     2.049995437E-05     4.452417778E-08    -3.995572926E-09    -1.396748291E-02    -3.171275684E-01    -1.308829729E+00    -1.354938495E+00    -2.590972091E-03     8.549836962E-05
 1.420979755E-04     2.670768383E+02     1.075251633E+02     1.075267741E+02     4.232755152E-07     3.723247692E+00     1.931326039E+01     3.726628073E+00     1.932309865E+01     2.065864973E-05     2.065864973E-05     4.470329631E-08    -4.048618580E-09    -1.402305517E-02    -3.177900168E-01    -1.311474471E+00    -1.357711089E+00    -2.572223412E-03     8.603837676E-05
 1.428990353E-04     2.666325081E+02     1.075251633E+02     1.075267741E+02     4.273584119E-07     3.723247692E+00     1.931326039E+01     3.726627900E+00     1.932309790E+01     2.081857195E-05     2.081857195E-05     4.488238463E-08    -4.102368473E-09    -1.407884563E-02    -3.184538119E-01    -1.314124428E+00    -1.360489402E+00    -2.579606428E-03     8.658179458E-05
 1.437046109E-04     2.661888552E+02     1.075251633E+02     1.075267741E+02     4.314806018E-07     3.723247692E+00     1.931326039E+01     3.726627725E+00     1.932309580E+01     2.097973051E-05     2.097973051E-05     4.506157942E-08    -4.156831956E-09    -1.413485495E-02    -3.191189732E-01    -1.316779612E+00    -1.363273080E+00    -2.584044764E-03     8.712864463E-05
 1.445147279E-04     2.657458746E+02     1.075251633E+02     1.075267741E+02     4.356424652E-07     3.723247692E+00     1.931326039E+01     3.726627543E+00     1.932309626E+01     2.114213494E-05     2.114213494E-05     4.524080388E-08    -4.212018502E-09    -1.419108405E-02    -3.197854864E-01    -1.319440031E+00    -1.366062261E+00    -2.568445722E-03     8.767894857E-05
 1.453294117E-04     2.653035692E+02     1.075251633E+02     1.075267741E+02     4.398443862E-07     3.723247692E+00     1.931326039E+01     3.726627355E+00     1.932309679E+01     2.130579485E-05     2.130579485E-05     4.541998620E-08    -4.267937711E-09    -1.424753380E-02    -3.204533711E-01    -1.322105695E+00    -1.368857289E+00    -2.591939634E-03     8.823272823E-05
 1.461486883E-04     2.648619342E+02     1.075251633E+02     1.075267740E+02     4.440867445E-07     3.723247692E+00     1.931326039E+01     3.726627162E+00     1.932309475E+01     2.147071994E-05     2.147071994E-05     4.559925402E-08    -4.324599308E-09    -1.430420493E-02    -3.211226129E-01    -1.324776613E+00    -1.371657869E+00    -2.562560746E-03     8.879000556E-05
