# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  110       3.829842469084e-10       1.151320109396e-13      -3.759859923520e-12       4.851424614973e-16       7.727226913278e-12       1.198978594725e-12      -6.154663548898e-15 
  111       3.871573968558e-10       1.166953884088e-13      -3.840050306872e-12       4.942114840026e-16       7.542243891079e-12       1.175274986827e-12      -6.076933582302e-15 
  112       3.913493723985e-10       1.182209069777e-13      -3.919544966237e-12       5.033778163973e-16       7.363228784618e-12       1.152227238313e-12      -6.005742392576e-15 
  113       3.955591518962e-10       1.197069877602e-13      -3.998280826613e-12       5.126419465237e-16       7.189849877725e-12       1.129825725376e-12      -5.939523655910e-15 
  114       3.997855756023e-10       1.211520652100e-13      -4.076194886697e-12       5.220043629707e-16       7.021716352518e-12       1.108055726403e-12      -5.876571467577e-15 
  115       4.040273414576e-10       1.225545881956e-13      -4.153224256644e-12       5.314655549048e-16       6.858376651660e-12       1.086897266530e-12      -5.815037023853e-15 
  116       4.082831902298e-10       1.239130504184e-13      -4.229305099694e-12       5.410260330485e-16       6.699417437185e-12       1.066330050178e-12      -5.753294984235e-15 
  117       4.125524954630e-10       1.252260835645e-13      -4.304369230382e-12       5.506863958714e-16       6.544777617843e-12       1.046349271349e-12      -5.691100184622e-15 
  118       4.168347376901e-10       1.264923775495e-13      -4.378347171705e-12       5.604472711675e-16       6.394469603831e-12       1.026951442611e-12      -5.628565982414e-15 
  119       4.211293189996e-10       1.277106535081e-13      -4.451169241988e-12       5.703092956464e-16       6.248481386307e-12       1.008129369863e-12      -5.565807110924e-15 
