# s8 = 0.8195 
#  k, 0.95*s8, 0.97*s8, 1.*s8, 1.03*s8, 1.05*s8
4.623200000000000053e-05 2.718742075019578053e+01 2.834420408183845908e+01 3.012456592819477308e+01 3.195915199322183042e+01 3.321233393583473514e+01
4.768200000000000189e-05 2.801040565346146494e+01 2.920220573888298787e+01 3.103646055785203828e+01 3.292658100582523417e+01 3.421769776503187899e+01
4.917800000000000247e-05 2.885748967541722010e+01 3.008533189540173680e+01 3.197505781209664022e+01 3.392233883285332752e+01 3.525250123783655454e+01
5.072000000000000228e-05 2.973108272793205131e+01 3.099609500134211970e+01 3.294302795338730760e+01 3.494925835574859008e+01 3.631968831860950786e+01
5.231100000000000111e-05 3.062997985507143284e+01 3.193323883173042788e+01 3.393903585049466187e+01 3.600592313378978560e+01 3.741778702517036237e+01
5.395200000000000115e-05 3.155659096870440550e+01 3.289927583651410004e+01 3.496575176587744949e+01 3.709516604841938658e+01 3.854974132187988545e+01
5.564500000000000002e-05 3.251091606883093732e+01 3.389420601569310776e+01 3.602317569953566334e+01 3.821698709963738594e+01 3.971555120873806999e+01
5.738999999999999771e-05 3.349416011138555405e+01 3.491928559424118106e+01 3.711264278269867845e+01 3.937280272816501991e+01 4.091668866792528547e+01
5.919100000000000300e-05 3.450752805230273879e+01 3.597577079713202153e+01 3.823548814659584139e+01 4.056402937472351766e+01 4.215462568162190138e+01
6.104700000000000014e-05 3.555222484751701728e+01 3.706491784933934497e+01 3.939304692245654138e+01 4.179208348003414386e+01 4.343083423200832982e+01
6.296199999999999789e-05 3.662704554109387800e+01 3.818547052588946400e+01 4.058398397905139632e+01 4.305554860337561252e+01 4.474384233690416579e+01
6.493700000000000524e-05 3.773440004490232980e+01 3.933994127672973917e+01 4.181096957883914200e+01 4.435725762619044588e+01 4.609659396067016246e+01
6.697500000000000165e-05 3.887669827081135310e+01 4.053084255180765183e+01 4.307667398427852135e+01 4.570004342992108093e+01 4.749203306766706589e+01
6.907499999999999849e-05 4.005273526288648611e+01 4.175691812614946485e+01 4.437976206414014513e+01 4.708248957384628142e+01 4.892868767571452082e+01
7.124200000000000671e-05 4.126371597706219774e+01 4.301942422472890115e+01 4.572156894965341678e+01 4.850601249868729781e+01 5.040802976699287541e+01
7.347700000000000140e-05 4.251205032520752525e+01 4.432087329749337101e+01 4.710476490327702948e+01 4.997344508588659551e+01 5.193300330586293256e+01
