# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:dens[1]-dens[2]       11:dens[1]-dens[3]       12:dens[1]-dens[4]       13:dens[1]-dens[5]       14:dens[2]-dens[2]       15:dens[2]-dens[3]       16:dens[2]-dens[4]       17:dens[2]-dens[5]       18:dens[3]-dens[3]       19:dens[3]-dens[4]       20:dens[3]-dens[5]       21:dens[4]-dens[4]       22:dens[4]-dens[5]       23:dens[5]-dens[5]       24:phi-dens[1]           25:phi-dens[2]           26:phi-dens[3]           27:phi-dens[4]           28:phi-dens[5]        
   22       1.260795233030e-10       1.119550055442e-15       2.097790576542e-13       0.000000000000e+00       2.816325674999e-10       2.794455191526e-11      -4.831982058560e-14       9.646867618800e-03      -5.508868144879e-09       3.129421448947e-08       2.910580677178e-10       3.147895914592e-09       2.373427372157e-03       8.791602429496e-09      -1.419881622911e-09       4.874234722642e-09       5.607228070539e-04      -3.974915794563e-08      -2.148694725539e-09       2.404082558531e-04      -1.890612190821e-07       1.281425851106e-04       2.525281263531e-07       9.443111349082e-08       2.783516659876e-08       1.307041537510e-08       7.621028978012e-09 
   23       1.279257279066e-10       1.204748209635e-15       2.140120647091e-13       0.000000000000e+00       2.601769810069e-10       2.594659744803e-11      -3.397453615547e-14       1.045026828369e-02      -1.514363004877e-09       1.102810710069e-07       2.040891115579e-10       8.342154845946e-09       2.590587734355e-03       1.018017215238e-08      -3.397164135101e-10       4.273118638882e-09       6.125667879455e-04      -3.597626764532e-08      -1.930252696123e-10       2.625890589963e-04      -1.861269194984e-07       1.399528605430e-04       2.518477665513e-07       9.607252499964e-08       2.859140336966e-08       1.346004831320e-08       7.861468353792e-09 
   24       1.298048583031e-10       1.335667377053e-15       2.180658137969e-13       0.000000000000e+00       2.409445030090e-10       2.412356876410e-11      -2.037392177206e-14       1.127200883146e-02      -1.723000768550e-09       3.476726220191e-08       3.872812347423e-10       1.063991341793e-08       2.816573179412e-03       1.025923223401e-08       6.243621780903e-11       2.368529947231e-09       6.667216014966e-04      -3.691206718177e-08       1.215483050141e-09       2.857689176232e-04      -1.803392760242e-07       1.522915627495e-04       2.506900805199e-07       9.756601837545e-08       2.930114691797e-08       1.383817328470e-08       8.094957549326e-09 
   25       1.317337132807e-10       1.512729230665e-15       2.224040044287e-13       0.000000000000e+00       2.237087431499e-10       2.248401827866e-11      -9.358219041436e-15       1.211018318569e-02      -7.786126430162e-09      -7.811374503849e-08       4.857004118179e-10       8.434341191172e-09       3.051207805262e-03       9.082829146165e-09      -4.485265923834e-11      -1.022634934021e-09       7.231797688226e-04      -3.756406155917e-08       1.539094778287e-09       3.099474982468e-04      -1.734482965756e-07       1.651595430812e-04       2.491096058749e-07       9.892007745828e-08       2.997452060929e-08       1.420464435143e-08       8.321583606589e-09 
   26       1.337243405903e-10       1.729013691433e-15       2.274277135863e-13       0.000000000000e+00       2.081575037735e-10       2.102910882910e-11      -2.260473766886e-15       1.296296848747e-02      -1.530208253729e-08      -5.494390779563e-08      -1.227736262233e-10       1.586240238959e-09       3.294304081144e-03       6.711803062210e-09       3.408537317544e-10      -5.536812908622e-09       7.819322587785e-04      -3.179960380043e-08       7.922121968226e-10       3.351227875790e-04      -1.679344162714e-07       1.785583650553e-04       2.471428451944e-07       1.001388941803e-07       3.062660264468e-08       1.455834428941e-08       8.541316915632e-09 
   27       1.357576648319e-10       1.978166314490e-15       2.331724332262e-13       0.000000000000e+00       1.941041716638e-10       1.972557309861e-11       7.232618333702e-16       1.382872272713e-02       1.488685234476e-09       3.570834851983e-08      -1.411355276376e-09      -5.028905137049e-09       3.545661861390e-03       2.272991577069e-09       9.942825401990e-10      -8.823781798863e-09       8.429706967246e-04      -2.343099426595e-08       6.041047235999e-11       3.612921563526e-04      -1.628270818635e-07       1.924885417003e-04       2.448328713566e-07       1.012291468114e-07       3.125492048989e-08       1.489943774497e-08       8.754438560635e-09 
   28       1.377978806977e-10       2.253823459165e-15       2.394867248120e-13       0.000000000000e+00       1.813064511351e-10       1.852260349034e-11      -2.432999391890e-17       1.470589798868e-02       6.062494289739e-08       6.027435294126e-08      -2.877498813876e-09      -5.404649303327e-09       3.805070244457e-03      -4.887668013960e-09       1.346034798078e-09      -8.217703276874e-09       9.062856142420e-04      -1.892551447271e-08       5.994384180346e-10       3.884525162203e-04      -1.562487844967e-07       2.069500659839e-04       2.422082817278e-07       1.021943097955e-07       3.185106227180e-08       1.522810118714e-08       8.961100021013e-09 
   29       1.398548297484e-10       2.555476342493e-15       2.460717334630e-13       0.000000000000e+00       1.696990486429e-10       1.741605742976e-11      -3.699655219155e-15       1.559280369318e-02       9.548051489739e-08       2.671688491023e-08      -2.958437046229e-09       3.151627088383e-10       4.072313216873e-03      -1.252807112808e-08       1.378591014488e-09      -4.245383940752e-09       9.718640180122e-04      -1.823674686433e-08       1.980117155906e-09       4.166017857332e-04      -1.485342078227e-07       2.219423470645e-04       2.393204434299e-07       1.030433291146e-07       3.241608234092e-08       1.554512972726e-08       9.161692978142e-09 
   30       1.419429898544e-10       2.884312995074e-15       2.524874867825e-13       0.000000000000e+00       1.591573957971e-10       1.640769894551e-11      -9.077432724764e-15       1.648776090404e-02      -4.435747243207e-09      -2.621123226612e-09       5.790953763290e-10       9.551301470176e-09       4.347167082714e-03      -1.688648822104e-08       1.279624943079e-09       1.199904561899e-09       1.039690447361e-03      -1.883315701690e-08       3.050262768032e-09       4.457379375899e-04      -1.408760958392e-07       2.374643776640e-04       2.362050574487e-07       1.037812830350e-07       3.295303092997e-08       1.585097445804e-08       9.356363447860e-09 
   31       1.440664680962e-10       3.240901848469e-15       2.582126969247e-13       0.000000000000e+00       1.494665319533e-10       1.548996729437e-11      -1.472164724766e-14       1.738939317267e-02      -2.907713806587e-07       2.571744302773e-08       8.438317794348e-09       1.879484499462e-08       4.629400745696e-03      -1.422683943092e-08       1.248016935011e-09       6.054268404871e-09       1.109748155359e-03      -1.809784444144e-08       2.674809405352e-09       4.758587908577e-04      -1.344557270600e-07       2.535149927657e-04       2.328776965878e-07       1.044084873912e-07       3.346394350639e-08       1.614560513465e-08       9.544974829762e-09 
