# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
   71       2.503433742698e-10       4.534067876388e-14      -8.098645876658e-13       2.336100059892e-16       2.541057623333e-11       3.137424216091e-12      -7.833338976329e-15       3.215976587781e-03       8.272435186150e-08 
   72       2.535535552863e-10       4.711451428463e-14      -8.705069086014e-13       2.402449726680e-16       2.457712451124e-11       3.046718539359e-12      -8.030656523345e-15       3.269892899886e-03       8.177975006703e-08 
   73       2.567950386475e-10       4.891652089159e-14      -9.326986659535e-13       2.469740972569e-16       2.377940223415e-11       2.959819586014e-12      -8.390038092317e-15       3.323323288499e-03       8.084193809889e-08 
   74       2.600675859578e-10       5.074636270397e-14      -9.964529546156e-13       2.537978023522e-16       2.301515725868e-11       2.876541523611e-12      -8.864200394902e-15       3.376289313744e-03       7.991168580825e-08 
   75       2.633707386344e-10       5.260352115074e-14      -1.061773704392e-12       2.607164969343e-16       2.228190753580e-11       2.796664781721e-12      -9.402825521803e-15       3.428815571270e-03       7.898952815104e-08 
   76       2.667047845553e-10       5.448665594214e-14      -1.128618221279e-12       2.677304031685e-16       2.157873080850e-11       2.720085820791e-12      -9.962440909761e-15       3.480923836477e-03       7.807676258653e-08 
   77       2.700699189733e-10       5.639412886331e-14      -1.196927967111e-12       2.748396999693e-16       2.090474366364e-11       2.646688537115e-12      -1.049797717221e-14       3.532638090996e-03       7.717458216231e-08 
   78       2.734659289918e-10       5.832419041453e-14      -1.266639553893e-12       2.820445747222e-16       2.025854048580e-11       2.576296377757e-12      -1.095963832406e-14       3.583986393919e-03       7.628374914603e-08 
   79       2.768921715525e-10       6.027497744135e-14      -1.337684646378e-12       2.893452235155e-16       1.963817053803e-11       2.508669701959e-12      -1.129275016675e-14       3.635000984185e-03       7.540457169069e-08 
   80       2.803479352072e-10       6.224450867010e-14      -1.409991922559e-12       2.967418104869e-16       1.904157609762e-11       2.443558560800e-12      -1.145425034409e-14       3.685716122237e-03       7.453718745436e-08 
