# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]        
   95       3.355529073569e-10       9.239295156956e-14      -2.614419889334e-12       0.000000000000e+00       1.236468397722e-11       1.704794670491e-12      -9.374722331703e-15       4.448188755286e-03       6.327220348458e-08 
   96       3.394957171776e-10       9.441508626549e-14      -2.700895504308e-12       0.000000000000e+00       1.203605140778e-11       1.667923012073e-12      -9.101516309291e-15       4.507970295315e-03       6.264663649719e-08 
   97       3.434659417461e-10       9.642682337422e-14      -2.787715605325e-12       0.000000000000e+00       1.171842746630e-11       1.632237877923e-12      -8.822385483636e-15       4.571193173924e-03       6.203680652684e-08 
   98       3.474636997447e-10       9.842586132592e-14      -2.874811641250e-12       0.000000000000e+00       1.141157602482e-11       1.597680499967e-12      -8.543604059329e-15       4.636584335133e-03       6.144276828417e-08 
   99       3.514889660309e-10       1.004098348787e-13      -2.962113638498e-12       0.000000000000e+00       1.111514830324e-11       1.564176580776e-12      -8.271939142079e-15       4.702753899181e-03       6.086436796172e-08 
  100       3.555415653322e-10       1.023763145902e-13      -3.049550214158e-12       0.000000000000e+00       1.082867897774e-11       1.531635778854e-12      -8.014662815094e-15       4.768192088841e-03       6.030123530877e-08 
  101       3.596211659395e-10       1.043228062896e-13      -3.137048589127e-12       0.000000000000e+00       1.055158228931e-11       1.499951193937e-12      -7.779564215447e-15       4.831266155738e-03       5.975277570623e-08 
  102       3.637273338261e-10       1.062469195035e-13      -3.224536688332e-12       0.000000000000e+00       1.028327293947e-11       1.469025976446e-12      -7.573106871428e-15       4.890633799850e-03       5.921837765040e-08 
  103       3.678597170976e-10       1.081469002937e-13      -3.311949742542e-12       0.000000000000e+00       1.002355613470e-11       1.438858440051e-12      -7.394585622354e-15       4.946554907646e-03       5.869808484416e-08 
  104       3.720178753061e-10       1.100211711133e-13      -3.399224623861e-12       0.000000000000e+00       9.772284230142e-12       1.409467759730e-12      -7.241184234788e-15       4.999755471053e-03       5.819200228414e-08 
  105       3.762012157447e-10       1.118681697839e-13      -3.486297876248e-12       0.000000000000e+00       9.529234298582e-12       1.380867690915e-12      -7.109749357422e-15       5.051028872998e-03       5.770008371155e-08 
  106       3.804089878310e-10       1.136863508966e-13      -3.573105752487e-12       0.000000000000e+00       9.294105664270e-12       1.353066364596e-12      -6.996781412536e-15       5.101237570934e-03       5.722212614744e-08 
  107       3.846402774915e-10       1.154741872140e-13      -3.659584251152e-12       0.000000000000e+00       9.066517436745e-12       1.326066082429e-12      -6.898425487460e-15       5.151314780359e-03       5.675776442795e-08 
  108       3.888940015454e-10       1.172301710712e-13      -3.745669153578e-12       0.000000000000e+00       8.846006044657e-12       1.299863111841e-12      -6.810462226044e-15       5.202266158339e-03       5.630646573960e-08 
  109       3.931690742215e-10       1.189527562509e-13      -3.831294992523e-12       0.000000000000e+00       8.632116743192e-12       1.274447346957e-12      -6.729006743788e-15       5.254951784884e-03       5.586766773679e-08 
  110       3.974649432063e-10       1.206401720651e-13      -3.916391727433e-12       0.000000000000e+00       8.424696862979e-12       1.249801681469e-12      -6.652727520400e-15       5.309396490182e-03       5.544122489984e-08 
  111       4.017811126238e-10       1.222905877790e-13      -4.000887707063e-12       0.000000000000e+00       8.223635986365e-12       1.225902171206e-12      -6.580898286652e-15       5.365393217821e-03       5.502700985393e-08 
  112       4.061169732404e-10       1.239021707888e-13      -4.084710725384e-12       0.000000000000e+00       8.028773849695e-12       1.202717957230e-12      -6.512713606525e-15       5.422714259079e-03       5.462477095640e-08 
  113       4.104717985715e-10       1.254730874281e-13      -4.167788047856e-12       0.000000000000e+00       7.839898817663e-12       1.180211059593e-12      -6.447286854813e-15       5.481110737595e-03       5.423412826905e-08 
  114       4.148447409884e-10       1.270015037730e-13      -4.250046437707e-12       0.000000000000e+00       7.656746357651e-12       1.158336171101e-12      -6.383648194731e-15       5.540312094033e-03       5.385456953046e-08 
  115       4.192348278254e-10       1.284855864486e-13      -4.331412182206e-12       0.000000000000e+00       7.478997514074e-12       1.137040451079e-12      -6.320742555515e-15       5.600025570750e-03       5.348544612826e-08 
  116       4.236410568695e-10       1.299235692299e-13      -4.411811526359e-12       0.000000000000e+00       7.306341758894e-12       1.116274094210e-12      -6.257629378472e-15       5.659998195244e-03       5.312611161288e-08 
  117       4.280627043265e-10       1.313139603099e-13      -4.491171977642e-12       0.000000000000e+00       7.138677473956e-12       1.096023935729e-12      -6.194113730018e-15       5.720212381656e-03       5.277636495512e-08 
  118       4.324990471612e-10       1.326553618622e-13      -4.569421209976e-12       0.000000000000e+00       6.975933092023e-12       1.076283563726e-12      -6.130188479495e-15       5.780713253700e-03       5.243605386780e-08 
  119       4.369492640832e-10       1.339464078722e-13      -4.646486700060e-12       0.000000000000e+00       6.818003955557e-12       1.057042799888e-12      -6.065839160655e-15       5.841548310657e-03       5.210493434907e-08 
  120       4.414124325317e-10       1.351857655252e-13      -4.722295757241e-12       0.000000000000e+00       6.664751360258e-12       1.038287588543e-12      -6.001043733244e-15       5.902767464635e-03       5.178266791505e-08 
  121       4.458875256615e-10       1.363721365936e-13      -4.796775553398e-12       0.000000000000e+00       6.516001598602e-12       1.019999885684e-12      -5.935772344594e-15       5.964423077838e-03       5.146881883241e-08 
  122       4.503734093281e-10       1.375042588245e-13      -4.869853152813e-12       0.000000000000e+00       6.371545003382e-12       1.002157548008e-12      -5.869987091209e-15       6.026569999833e-03       5.116285135104e-08 
  123       4.548688390737e-10       1.385809073274e-13      -4.941455542057e-12       0.000000000000e+00       6.231134991250e-12       9.847342219522e-13      -5.803641780353e-15       6.089265604808e-03       5.086412693657e-08 
  124       4.593725666355e-10       1.396009124948e-13      -5.011510226968e-12       0.000000000000e+00       6.094534810943e-12       9.677046787191e-13      -5.736710151287e-15       6.152553566998e-03       5.057201847922e-08 
  125       4.638836796311e-10       1.405632131226e-13      -5.079947037040e-12       0.000000000000e+00       5.961665856327e-12       9.510617440228e-13      -5.669274688022e-15       6.216413014091e-03       5.028627354841e-08 
  126       4.684012950887e-10       1.414668119891e-13      -5.146696583999e-12       0.000000000000e+00       5.832474534101e-12       9.348010978382e-13      -5.601447527474e-15       6.280803621364e-03       5.000668751856e-08 
  127       4.729244512480e-10       1.423107613641e-13      -5.211689747039e-12       0.000000000000e+00       5.706885492369e-12       9.189159331685e-13      -5.533342888777e-15       6.345681266610e-03       4.973298845923e-08 
  128       4.774521053939e-10       1.430941645247e-13      -5.274857707092e-12       0.000000000000e+00       5.584801033510e-12       9.033968872413e-13      -5.465077055203e-15       6.410997941513e-03       4.946483527343e-08 
  129       4.819831316896e-10       1.438161772707e-13      -5.336131981093e-12       0.000000000000e+00       5.466100527038e-12       8.882319727049e-13      -5.396768356077e-15       6.476701663012e-03       4.920181583577e-08 
  130       4.865163190105e-10       1.444760094401e-13      -5.395444456249e-12       0.000000000000e+00       5.350639822478e-12       8.734065088247e-13      -5.328537148707e-15       6.542736384666e-03       4.894344513079e-08 
  131       4.910503687772e-10       1.450729264250e-13      -5.452727424309e-12       0.000000000000e+00       5.238250662225e-12       8.589030526797e-13      -5.260505800295e-15       6.609041908027e-03       4.868916339109e-08 
  132       4.955839790884e-10       1.456062744925e-13      -5.507914012726e-12       0.000000000000e+00       5.128772343869e-12       8.447055721314e-13      -5.192776976733e-15       6.675560040612e-03       4.843843034156e-08 
  133       5.001161119118e-10       1.460755566040e-13      -5.560939457726e-12       0.000000000000e+00       5.022151790458e-12       8.308126164925e-13      -5.125365915653e-15       6.742254004270e-03       4.819102330456e-08 
  134       5.046457505920e-10       1.464803676357e-13      -5.611740033295e-12       0.000000000000e+00       4.918353154980e-12       8.172254352225e-13      -5.058260819449e-15       6.809090950970e-03       4.794676770208e-08 
  135       5.091718145599e-10       1.468203729644e-13      -5.660252703157e-12       0.000000000000e+00       4.817326170448e-12       8.039438234335e-13      -4.991443732092e-15       6.876035857410e-03       4.770544262445e-08 
  136       5.136931577564e-10       1.470953101456e-13      -5.706415157753e-12       0.000000000000e+00       4.719005783195e-12       7.909660820805e-13      -4.924890372775e-15       6.943051479082e-03       4.746677962543e-08 
  137       5.182085670554e-10       1.473049905920e-13      -5.750165851227e-12       0.000000000000e+00       4.623311786177e-12       7.782889781508e-13      -4.858569969557e-15       7.010098304336e-03       4.723046151739e-08 
