# Halofit, Smith 
#  k, P(k)
9.464120000000000453e-05 1.699240000000000066e+02
9.526299999999999915e-05 1.710000000000000000e+02
9.588880000000000255e-05 1.720840000000000032e+02
9.651880000000000160e-05 1.731740000000000066e+02
9.715290000000000286e-05 1.742709999999999866e+02
9.779119999999999978e-05 1.753760000000000048e+02
9.843370000000000591e-05 1.764869999999999948e+02
9.908039999999999415e-05 1.776049999999999898e+02
9.973139999999999859e-05 1.787299999999999898e+02
1.003869999999999996e-04 1.798629999999999995e+02
1.010459999999999944e-04 1.810020000000000095e+02
1.017100000000000003e-04 1.821490000000000009e+02
1.023780000000000013e-04 1.833029999999999688e+02
1.030509999999999998e-04 1.844650000000000034e+02
1.037279999999999935e-04 1.856330000000000098e+02
1.044089999999999960e-04 1.868079999999999927e+02
1.050949999999999958e-04 1.879919999999999902e+02
1.057860000000000067e-04 1.891839999999999975e+02
1.064809999999999992e-04 1.903830000000000098e+02
1.071800000000000004e-04 1.915880000000000223e+02
1.078850000000000013e-04 1.928029999999999973e+02
1.085929999999999952e-04 1.940229999999999961e+02
1.093070000000000023e-04 1.952529999999999859e+02
1.100250000000000045e-04 1.964900000000000091e+02
1.107480000000000042e-04 1.977350000000000136e+02
1.114760000000000013e-04 1.989880000000000280e+02
1.122079999999999936e-04 2.002479999999999905e+02
1.129449999999999969e-04 2.015159999999999911e+02
1.136869999999999976e-04 2.027920000000000016e+02
1.144339999999999957e-04 2.040770000000000550e+02
1.151860000000000047e-04 2.053699999999999761e+02
1.159429999999999977e-04 2.066709999999999923e+02
1.167039999999999994e-04 2.079790000000000134e+02
1.174710000000000007e-04 2.092969999999999970e+02
1.182429999999999994e-04 2.106229999999999905e+02
1.190199999999999955e-04 2.119569999999999936e+02
1.198020000000000026e-04 2.133000000000000114e+02
1.205889999999999935e-04 2.146510000000000105e+02
1.213809999999999954e-04 2.160099999999999909e+02
1.221790000000000105e-04 2.173789999999999907e+02
1.229810000000000072e-04 2.187539999999999907e+02
1.237889999999999900e-04 2.201400000000000148e+02
1.246030000000000130e-04 2.215360000000000014e+02
1.254209999999999906e-04 2.229379999999999882e+02
1.262450000000000085e-04 2.243489999999999895e+02
1.270750000000000124e-04 2.257709999999999866e+02
1.279099999999999866e-04 2.272019999999999698e+02
1.287500000000000124e-04 2.286400000000000148e+02
1.295959999999999972e-04 2.300879999999999654e+02
1.304470000000000065e-04 2.315449999999999875e+02
1.313040000000000019e-04 2.330109999999999957e+02
1.321670000000000104e-04 2.344869999999999948e+02
1.330349999999999892e-04 2.359719999999999800e+02
1.339090000000000083e-04 2.374660000000000082e+02
1.347890000000000134e-04 2.389710000000000036e+02
1.356750000000000046e-04 2.404850000000000136e+02
1.365659999999999932e-04 2.420069999999999482e+02
1.374629999999999949e-04 2.435389999999999873e+02
1.383660000000000098e-04 2.450809999999999889e+02
1.392759999999999994e-04 2.466350000000000477e+02
1.401910000000000135e-04 2.481959999999999980e+02
1.411119999999999866e-04 2.497680000000000007e+02
1.420389999999999999e-04 2.513489999999999895e+02
1.429719999999999993e-04 2.529410000000000025e+02
1.439110000000000118e-04 2.545419999999999447e+02
1.448569999999999990e-04 2.561549999999999727e+02
1.458080000000000107e-04 2.577749999999999773e+02
1.467659999999999972e-04 2.594080000000000155e+02
1.477310000000000125e-04 2.610509999999999877e+02
1.487009999999999981e-04 2.627029999999999745e+02
1.496780000000000126e-04 2.643670000000000186e+02
1.506620000000000019e-04 2.660419999999999732e+02
1.516509999999999885e-04 2.677250000000000227e+02
1.526479999999999927e-04 2.694209999999999923e+02
1.536510000000000100e-04 2.711270000000000095e+02
1.546600000000000134e-04 2.728419999999999845e+02
1.556759999999999915e-04 2.745699999999999932e+02
1.566989999999999984e-04 2.763079999999999927e+02
1.577290000000000072e-04 2.780590000000000259e+02
1.587650000000000020e-04 2.798190000000000168e+02
1.598079999999999987e-04 2.815900000000000318e+02
1.608579999999999971e-04 2.833729999999999336e+02
1.619149999999999973e-04 2.851669999999999732e+02
1.629789999999999993e-04 2.869730000000000132e+02
1.640489999999999874e-04 2.887880000000000109e+02
1.651269999999999930e-04 2.906159999999999286e+02
1.662120000000000004e-04 2.924560000000000173e+02
1.673040000000000096e-04 2.943070000000000164e+02
1.684029999999999935e-04 2.961689999999999827e+02
1.695099999999999949e-04 2.980450000000000159e+02
1.706230000000000095e-04 2.999300000000000068e+02
1.717439999999999874e-04 3.018279999999999745e+02
1.728730000000000099e-04 3.037400000000000091e+02
1.740079999999999915e-04 3.056600000000000250e+02
1.751520000000000063e-04 3.075960000000000036e+02
1.763020000000000071e-04 3.095409999999999968e+02
1.774609999999999870e-04 3.115009999999999764e+02
1.786269999999999959e-04 3.134730000000000132e+02
1.798000000000000065e-04 3.154549999999999841e+02
1.809810000000000075e-04 3.174510000000000218e+02
1.821699999999999990e-04 3.194589999999999463e+02
1.833670000000000081e-04 3.214809999999999945e+02
1.845720000000000075e-04 3.235149999999999864e+02
