# Halofit, tahahashi 
#  k, P(k)
1.532690000000000059e-05 4.671300000000000097e+01
1.542760000000000116e-05 4.700919999999999987e+01
1.552889999999999967e-05 4.730700000000000216e+01
1.563099999999999993e-05 4.760710000000000264e+01
1.573370000000000150e-05 4.790890000000000271e+01
1.583700000000000101e-05 4.821240000000000236e+01
1.594109999999999887e-05 4.851819999999999311e+01
1.604580000000000145e-05 4.882570000000000476e+01
1.615119999999999878e-05 4.913519999999999754e+01
1.625730000000000103e-05 4.944659999999999656e+01
1.636420000000000165e-05 4.976030000000000086e+01
1.647170000000000020e-05 5.007569999999999766e+01
1.657990000000000028e-05 5.039309999999998979e+01
1.668879999999999851e-05 5.071249999999999858e+01
1.679849999999999849e-05 5.103410000000000224e+01
1.690879999999999979e-05 5.135750000000000171e+01
1.701989999999999946e-05 5.168310000000000315e+01
1.713170000000000065e-05 5.201059999999999661e+01
1.724430000000000022e-05 5.234049999999999869e+01
1.735760000000000132e-05 5.267229999999999990e+01
1.747160000000000057e-05 5.300610000000000355e+01
1.758640000000000157e-05 5.334210000000000207e+01
1.770200000000000094e-05 5.368050000000000210e+01
1.781829999999999845e-05 5.402079999999998705e+01
1.793530000000000089e-05 5.436300000000000665e+01
1.805319999999999852e-05 5.470780000000000598e+01
1.817180000000000108e-05 5.505459999999999354e+01
1.829119999999999862e-05 5.540370000000000061e+01
1.841130000000000108e-05 5.575469999999999970e+01
1.853229999999999873e-05 5.610819999999999652e+01
1.865410000000000153e-05 5.646399999999999864e+01
1.877659999999999909e-05 5.682180000000000319e+01
1.889999999999999862e-05 5.718200000000000216e+01
1.902409999999999968e-05 5.754429999999999978e+01
1.914909999999999933e-05 5.790910000000000224e+01
1.927490000000000073e-05 5.827609999999999957e+01
1.940160000000000072e-05 5.864569999999999084e+01
1.952899999999999886e-05 5.901720000000000965e+01
1.965739999999999919e-05 5.939159999999999684e+01
1.978650000000000105e-05 5.976789999999999736e+01
1.991650000000000150e-05 6.014670000000000982e+01
2.004730000000000032e-05 6.052779999999999916e+01
2.017910000000000133e-05 6.091179999999999950e+01
2.031160000000000048e-05 6.129760000000000275e+01
2.044509999999999844e-05 6.168630000000000280e+01
2.057940000000000154e-05 6.207730000000000103e+01
2.071459999999999984e-05 6.247079999999999700e+01
2.085070000000000011e-05 6.286690000000001532e+01
2.098769999999999897e-05 6.326540000000000674e+01
