# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[2]-dens[2]    
  194       3.067371612431e+00       2.714348056056e-09       1.637762115193e+00 
  195       3.078465209370e+00       5.007635383485e-08       1.644791124677e+00 
  196       3.089526103128e+00       8.970863921711e-08       1.651837551850e+00 
  197       3.100555166903e+00       1.087587680965e-07       1.658907486477e+00 
  198       3.111552813182e+00       1.079222135390e-07       1.666002912668e+00 
  199       3.122519286512e+00       9.149305457680e-08       1.673124745308e+00 
  200       3.133454762691e+00       6.395639471539e-08       1.680273869919e+00 
  201       3.144359347054e+00       2.999082686607e-08       1.687451141766e+00 
  202       3.155233058862e+00      -5.959288327438e-09       1.694656519188e+00 
  203       3.166075786789e+00      -4.100599155973e-08       1.701886396810e+00 
  204       3.176887326959e+00      -7.258489644584e-08       1.709136080817e+00 
  205       3.187667394814e+00      -9.803225248370e-08       1.716400634283e+00 
  206       3.198415623359e+00      -1.145837390204e-07       1.723674873742e+00 
  207       3.209131708801e+00      -1.200538013948e-07       1.730953322427e+00 
  208       3.219815862371e+00      -1.149286737261e-07       1.738230073490e+00 
  209       3.230468386506e+00      -1.004164538888e-07       1.745498910659e+00 
  210       3.241089528939e+00      -7.778030775719e-08       1.752753347191e+00 
  211       3.251679481350e+00      -4.833915988891e-08       1.759986622324e+00 
  212       3.262238453115e+00      -1.377048434558e-08       1.767192327043e+00 
  213       3.272766900893e+00       2.295990420319e-08       1.774366335967e+00 
  214       3.283265312022e+00       5.846319892066e-08       1.781504999731e+00 
  215       3.293734129691e+00       8.922254757712e-08       1.788604525580e+00 
  216       3.304173751796e+00       1.115915590491e-07       1.795660975495e+00 
  217       3.314584517621e+00       1.225087529155e-07       1.802671086794e+00 
  218       3.324966669284e+00       1.216966836799e-07       1.809634798338e+00 
  219       3.335320385519e+00       1.096058149840e-07       1.816552888281e+00 
  220       3.345645792449e+00       8.671200542810e-08       1.823426166857e+00 
  221       3.355942962413e+00       5.351683118540e-08       1.830255476590e+00 
  222       3.366211940985e+00       1.141477572189e-08       1.837042169406e+00 
  223       3.376452832443e+00      -3.464336936661e-08       1.843789571924e+00 
  224       3.386665717567e+00      -7.864050290503e-08       1.850501615630e+00 
  225       3.396850624844e+00      -1.143421432224e-07       1.857182369866e+00 
  226       3.407007529353e+00      -1.352940042955e-07       1.863836043205e+00 
  227       3.417136420821e+00      -1.368430647373e-07       1.870466923071e+00 
  228       3.427237514863e+00      -1.223482475203e-07       1.877079187550e+00 
  229       3.437311053006e+00      -9.735922264397e-08       1.883677084284e+00 
  230       3.447357233787e+00      -6.763060372844e-08       1.890264992349e+00 
  231       3.457376211808e+00      -3.912421577156e-08       1.896847423474e+00 
  232       3.467368140539e+00      -1.674474673773e-08       1.903428487256e+00 
  233       3.477333305623e+00      -4.548139708354e-10       1.910010247361e+00 
  234       3.487271998018e+00       1.107705231621e-08       1.916594265573e+00 
  235       3.497184470143e+00       1.923203452305e-08       1.923182128655e+00 
  236       3.507070935029e+00       2.544157169145e-08       1.929775448381e+00 
  237       3.516931565470e+00       3.118790353480e-08       1.936375861574e+00 
