# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 1000, i.e. number of multipoles equal to 999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   24       3.916291598377e-01       8.712748954637e-02       2.292082583454e-02       1.822002254229e-09       1.558800443770e-10       1.155204592284e-10       3.672035683607e-01       8.703013924754e-02       4.131392909518e-09       3.176914212234e-10      -1.358318672637e-10       3.448134646437e-01      -2.651763754423e-09       4.439804525217e-10      -1.571200342034e-10       4.677785264803e-03      -1.046504934402e-09      -8.140732948216e-10       1.019286675163e-04       1.239358526037e-05       9.731460859280e-05 
   25       4.114732981463e-01       8.663181091146e-02       2.091936050139e-02      -6.866297683266e-10      -1.194222500336e-10       7.615446932495e-11       3.859891791253e-01       8.706406230839e-02       2.317337285859e-11       6.355160356616e-11      -2.368628890036e-11       3.628895054028e-01      -1.076107520620e-10      -7.708604753843e-11       1.149841373229e-10       5.066366643463e-03       6.449132368266e-10      -1.528925701274e-09       1.105201808893e-04       1.353876351318e-05       1.055161937142e-04 
   26       4.316154375191e-01       8.594393013924e-02       1.864863080935e-02       7.171206485131e-09      -2.688453737544e-11      -3.819268058000e-11       4.047789517859e-01       8.666420205384e-02      -1.750847350040e-10      -3.439743863769e-11      -1.326763072482e-10       3.807660465906e-01      -5.438369678822e-09      -2.390350854111e-10       3.246933278551e-11       5.469402359182e-03      -1.617760385499e-09      -7.141060178471e-10       1.194652927456e-04       1.474155504698e-05       1.140568267850e-04 
   27       4.522710894816e-01       8.531052598191e-02       1.631357112407e-02       1.812152895280e-09       4.220100874662e-12       1.016019583572e-10       4.237854004656e-01       8.604079392479e-02       1.792029068831e-09       4.703126489541e-11      -1.239124863258e-10       3.986106690282e-01      -6.824565382461e-10       2.013637260128e-11       7.711669673914e-11       5.886669106322e-03       7.422728172924e-10      -3.466886850782e-09       1.287629722176e-04       1.600301306283e-05       1.229325709556e-04 
   28       4.735947712300e-01       8.494719564560e-02       1.412525957566e-02      -5.627144803143e-09      -1.395297311006e-10      -6.539520499729e-11       4.432046021950e-01       8.541031473224e-02      -8.151323502451e-09       2.582855887580e-11       7.359899231943e-11       4.166080129773e-01      -1.896646367170e-09      -1.609049584881e-11       9.316530008943e-11       6.317944720838e-03      -1.167655046471e-09      -1.072250232228e-10       1.384148034094e-04       1.732290257385e-05       1.321480098095e-04 
   29       4.956573108915e-01       8.501266342178e-02       1.227742071464e-02      -1.200796185416e-10       4.120627591730e-11       1.027884217681e-10       4.631891959397e-01       8.496983469123e-02      -3.432751404516e-09      -1.258003309771e-10      -8.875478554919e-11       4.349347676792e-01      -3.850822559634e-09       6.364458187746e-11       1.280377865632e-10       6.762993103541e-03       2.096191307419e-10      -5.054825299884e-09       1.484194023026e-04       1.870278943343e-05       1.416987684367e-04 
   30       5.184365119401e-01       8.559402486031e-02       1.092963406735e-02      -1.637569608175e-09       1.013795875678e-10       1.446776036125e-10       4.838317531911e-01       8.487887410825e-02      -1.313897591714e-09      -1.885381453748e-10      -1.147484280035e-10       4.537409029553e-01      -7.864934768678e-10       1.584541891976e-10       1.051742817585e-10       7.221569903839e-03       9.232045096784e-10      -6.702230626797e-09       1.587776432589e-04       2.014216560357e-05       1.515876838942e-04 
   31       5.418038199303e-01       8.667995543287e-02       1.017310867785e-02      -5.064598623245e-09       6.505393017084e-11      -1.801629362905e-12       5.051339942962e-01       8.522409872139e-02      -1.107989515679e-09      -1.462400640643e-10       6.262483895585e-12       4.731127488054e-01       4.550952857410e-09       1.999922828029e-10       2.164148379934e-11       7.693425659042e-03       5.711247702600e-10      -4.142206926263e-09       1.694894913465e-04       2.164125770198e-05       1.618149513336e-04 
   32       5.655582014824e-01       8.819368499366e-02       1.005696651413e-02       1.870506051817e-09       1.438433972516e-10      -1.517921322963e-10       5.270395631489e-01       8.604784712809e-02       5.385446643467e-09      -6.732266799964e-11       6.423291908500e-11       4.931001746852e-01       7.247966563783e-09       1.972356952031e-10      -7.641881958490e-11       8.178304395035e-03       1.076389942018e-09      -2.250335891471e-09       1.805543218722e-04       2.320065680495e-05       1.723791134027e-04 
   33       5.894341415351e-01       8.997034946390e-02       1.054127086362e-02       8.568889789159e-09       2.112404358675e-10      -2.344402424804e-10       5.494019576126e-01       8.730265816795e-02       8.611767210117e-09      -3.170860282101e-11       9.912908063611e-11       5.136673073144e-01       3.450764460473e-09       1.228158477527e-10      -1.419173549666e-10       8.675945471457e-03       1.897262391781e-09      -1.361881634044e-09       1.919718631015e-04       2.482052093209e-05       1.832799452407e-04 
   34       6.131196879711e-01       9.178387952324e-02       1.152692253946e-02       1.378407009060e-09       8.704804434968e-11      -2.217979864352e-10       5.720135315940e-01       8.888164907034e-02      -2.132136269552e-09      -9.065295335198e-11       1.966806152529e-10       5.347233865848e-01      -7.559180854733e-09      -3.385164852854e-11      -1.421023885338e-10       9.186083758328e-03       1.828411905830e-09      -5.806159998818e-10       2.037418802645e-04       2.650084795834e-05       1.945174935889e-04 
   35       6.363377138423e-01       9.338954917179e-02       1.285168777414e-02      -7.849079598090e-09      -8.787342298876e-11      -1.472459937619e-10       5.946325921907e-01       9.061912092248e-02      -1.176747940710e-08      -1.084899702195e-10       2.600034421582e-10       5.561150425148e-01      -1.231727434298e-08      -1.453737938028e-10      -1.336429441281e-10       9.708452278795e-03       6.001785715542e-10       2.227838905840e-11       2.158639702997e-04       2.824171560470e-05       2.060913765334e-04 
   36       6.588252216610e-01       9.452304216496e-02       1.430713632947e-02      -3.388290883874e-09      -1.156692867227e-10      -5.547063670565e-11       6.169886770884e-01       9.230520234638e-02      -2.657541904305e-09       5.598091688663e-11       1.672858306575e-10       5.776433302239e-01       1.531923389500e-09      -8.959548346321e-11      -1.740813130811e-10       1.024278169356e-02      -1.613487057608e-09       2.679966633744e-10       2.283376381553e-04       3.004318157072e-05       2.180010574228e-04 
   37       6.804421207767e-01       9.498520278769e-02       1.567611792766e-02       5.081987570962e-09      -7.870861967323e-11       6.754831964527e-11       6.388520361768e-01       9.372587975822e-02       9.686548066671e-09       2.337686222778e-10      -5.964460593761e-12       5.990916519755e-01       1.455403088965e-08      -2.779599407044e-11      -1.670710783813e-10       1.078880161935e-02      -3.926007536175e-09       8.923735040733e-10       2.411623924378e-04       3.190523780124e-05       2.302460953687e-04 
   38       7.011163357591e-01       9.460983888056e-02       1.672961803380e-02       3.336672325727e-09      -1.115824735139e-10       2.305695250224e-10       6.600118534927e-01       9.465784988327e-02       4.799230301654e-09       2.106841087959e-10      -1.397170886468e-10       6.202260870239e-01       4.349028401448e-09      -1.457924692505e-10      -5.918453878241e-12       1.134624091217e-02      -5.280030504060e-09       2.677702469555e-09       2.543376906244e-04       3.382781809028e-05       2.428260213014e-04 
   39       7.209243563493e-01       9.335564540461e-02       1.729829928071e-02      -2.520756586604e-09      -1.445494219143e-10       3.318408343735e-10       6.803652315584e-01       9.494132229996e-02      -5.617536614983e-09       8.937105516070e-11      -2.339725029608e-10       6.408573224412e-01      -1.069617254803e-08      -2.622909113922e-10       2.022290392562e-10       1.191482928770e-02      -5.297681163168e-09       4.990223678393e-09       2.678629035342e-04       3.581081492521e-05       2.557402388341e-04 
   40       7.400248028790e-01       9.124890939830e-02       1.724180962497e-02      -2.356068018309e-09      -7.514678966358e-11       2.595201128575e-10       6.998680808293e-01       9.444850876176e-02      -4.066832804446e-09       3.736930765081e-11      -3.043374430961e-10       6.608174353335e-01      -5.965727379906e-09      -1.478291921487e-10       3.038788730156e-10       1.249429754636e-02      -4.043184450293e-09       6.652758814707e-09       2.817372982690e-04       3.785405179646e-05       2.689880659644e-04 
   41       7.586597561029e-01       8.842829819216e-02       1.651822722790e-02       8.002402034407e-10       3.074112712929e-11       5.287242314702e-11       7.185942002963e-01       9.315499944458e-02       2.639073473183e-09       2.075529143903e-11      -2.684156197788e-10       6.800308135440e-01       5.854431960652e-09       5.155810232776e-11       2.867451898096e-10       1.308437889281e-02      -2.700547894739e-09       6.355655901846e-09       2.959599507857e-04       3.995722456844e-05       2.825687639035e-04 
   42       7.771237166113e-01       8.509835614485e-02       1.513938863083e-02       1.104150094766e-09       8.054759070538e-11      -1.947374535336e-10       7.366862529205e-01       9.109423555225e-02       2.768211325327e-09      -4.072801921555e-11      -5.533051779397e-11       6.984733239721e-01       5.067112841723e-09       1.220647731505e-10       1.869324225742e-10       1.368480955795e-02      -2.497310268509e-09       3.392312925980e-09       3.105298478187e-04       4.211995854027e-05       2.964814369848e-04 
   43       7.957095420461e-01       8.152032814668e-02       1.320864370087e-02      -3.921351076270e-10       1.225045820865e-10      -3.801771866722e-10       7.543661149532e-01       8.839741746981e-02      -9.450580702016e-10      -1.420763796600e-10       1.917548521660e-10       7.162214378951e-01      -2.513891375736e-09       1.276569628352e-10       6.198434908620e-11       1.429533077065e-02      -2.812794627026e-09       3.653565331458e-10       3.254460512290e-04       4.434189591581e-05       3.107247273599e-04 
   44       8.147024653515e-01       7.798077725909e-02       1.087792521285e-02      -1.008341274152e-09       2.265469299325e-10      -4.132467309308e-10       7.718940582770e-01       8.524703548691e-02      -2.419978281078e-09      -2.510978627276e-10       2.907572907917e-10       7.334065166486e-01      -5.313442721556e-09       1.898231476864e-10      -2.687209318988e-11       1.491568847216e-02      -2.565639337918e-09       2.398916265142e-10       3.407075584568e-04       4.662262033482e-05       3.252972250375e-04 
   45       8.342496951990e-01       7.469587373569e-02       8.326668236978e-03      -6.388389945785e-10       3.494465637431e-10      -3.136826618247e-10       7.894903633168e-01       8.184934444905e-02      -1.503160608618e-09      -3.338082455281e-10       2.356750720153e-10       7.502089261408e-01      -3.240393322089e-09       2.821743748614e-10      -5.611610279379e-11       1.554563334174e-02      -1.404749625528e-09       2.068253545285e-09       3.563131319066e-04       4.896156144817e-05       3.401982354914e-04 
   46       8.544645828658e-01       7.188131179013e-02       5.768614553530e-03       1.450833061976e-11       4.062835610672e-10      -1.403036070797e-10       8.073888041901e-01       7.844534294875e-02       8.558618939742e-11      -3.513938452696e-10       7.713267991030e-11       7.668517385596e-01       1.353827305317e-10       3.278795796276e-10      -1.169163337560e-11       1.618492191198e-02       8.281989990030e-10       3.516267258686e-09       3.722613908118e-04       5.135804629310e-05       3.554272910409e-04 
   47       8.754244878261e-01       6.973595656957e-02       3.429333077194e-03       2.974096481858e-10       3.268195286780e-10       4.012922109406e-11       8.258150903567e-01       7.528502632388e-02       7.490949934971e-10      -2.725108515646e-10      -1.252260022575e-10       7.835738241240e-01       1.506046486038e-09       2.600010825772e-10       1.106670518229e-10       1.683331715487e-02       4.082975981992e-09       2.500153544028e-09       3.885509170466e-04       5.381141154831e-05       3.709837398518e-04 
   48       8.970313583421e-01       6.829709228383e-02       1.460320464347e-03       2.214353900019e-10       1.538151643387e-10       1.676240076957e-10       8.448451706784e-01       7.252524440329e-02       5.466891449865e-10      -1.185708003204e-10      -3.106332373923e-10       8.005457125307e-01       1.028405898877e-09       9.998191047136e-11       2.683970186324e-10       1.749058814958e-02       7.364445972193e-09      -5.310471752077e-10       4.051804943287e-04       5.632131519501e-05       3.868659880137e-04 
   49       9.191108856963e-01       6.754557484904e-02       3.668671399443e-06       1.014878160893e-11      -2.839957744903e-11       1.772598073571e-10       8.645089177889e-01       7.030597793208e-02       6.868651685933e-11       6.907319451725e-11      -4.104303274902e-10       8.179331672557e-01      -2.544050830216e-11      -9.955524660428e-11       3.985831310118e-10       1.815651171597e-02       9.257902951234e-09      -4.263009667424e-09       4.221489337311e-04       5.888751125233e-05       4.030720494128e-04 
   50       9.414517304660e-01       6.742515776587e-02      -8.147524566814e-04      -1.256141317358e-10      -1.385772738202e-10       3.182631994920e-11       8.848024989605e-01       6.874599842818e-02      -1.385293033980e-10       2.437160140311e-10      -3.724865222428e-10       8.358867142461e-01      -4.789662425244e-10      -2.817470687096e-10       4.420659055993e-10       1.883087316948e-02       8.488581306307e-09      -7.362270546114e-09       4.394549996452e-04       6.150959134717e-05       4.196000057893e-04 
   51       9.638141222022e-01       6.777625484089e-02      -9.895411132782e-04      -1.680207743680e-10      -1.582118358533e-10      -1.546722290349e-10       9.056003988209e-01       6.783256985342e-02      -7.851058337198e-11       3.610977473533e-10      -2.513068729167e-10       8.544265045360e-01      -3.435511011446e-10      -4.038766618577e-10       3.909148943390e-10       1.951346593085e-02       5.133758120018e-09      -9.211589113419e-09       4.570973808136e-04       6.418640536476e-05       4.364488526800e-04 
   52       9.859195646415e-01       6.838220572333e-02      -5.587442523212e-04      -1.570802755556e-10      -8.672874102967e-11      -2.077991708075e-10       9.267183124687e-01       6.750246465671e-02       7.383927406527e-11       3.730170617053e-10      -1.414672481792e-10       8.735274774781e-01      -1.284507588694e-12      -4.230811083094e-10       2.529050627760e-10       2.020409318873e-02      -2.799834975920e-10      -9.352217437226e-09       4.750747140089e-04       6.691648895881e-05       4.536178719616e-04 
   53       1.007488190094e+00       6.900438290068e-02       4.113917970345e-04      -1.330643147696e-10       5.776208286393e-11       2.746666198759e-12       9.479449383296e-01       6.766179420412e-02       1.570551256089e-10       2.538096765903e-10      -1.279359858216e-10       8.931352463318e-01       1.942198627291e-10      -3.143355186646e-10       5.136572944868e-11       2.090256771747e-02      -6.948507101562e-09      -7.492589538267e-09       4.933854813302e-04       6.969846840069e-05       4.711061703931e-04 
