# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
 1839       1.006527217084e+01       6.118804005835e-06       3.013729904589e-06       4.481869130683e-09       4.238930636076e-09       7.163981378697e-10       9.824712624094e+00       8.655454441349e-08       1.622739217027e-09       4.388144002996e-10      -3.393581545720e-10       9.596717384696e+00       1.549323462358e-09       3.328011578243e-10      -4.573164749532e-10       1.436683652812e+00       3.060867639719e-08      -1.598865469684e-08       1.258660511906e+00       4.202687029933e-08       1.110755097289e+00 
 1840       1.006743931449e+01       6.118856714691e-06       3.011012447274e-06       4.444728616584e-09       4.197004356012e-09       7.072713655919e-10       9.826851106892e+00       7.086378958567e-08       1.506173934730e-09       3.173014745380e-10      -3.671691104903e-10       9.598828313957e+00       1.441844513896e-09       2.186623414746e-10      -4.811026527377e-10       1.437205367404e+00       2.680654086844e-08      -1.608888498148e-08       1.259126816700e+00       3.810776758945e-08       1.111174238413e+00 
 1841       1.006960547904e+01       6.118295121424e-06       3.007715454095e-06       4.403801347591e-09       4.150728689579e-09       6.970447139860e-10       9.828988624055e+00       5.490403093790e-08       1.389675935442e-09       1.945095510493e-10      -3.963824398105e-10       9.600938292544e+00       1.334398655858e-09       1.034275140594e-10      -5.054856651316e-10       1.437726905606e+00       2.275048118985e-08      -1.599986662430e-08       1.259592970371e+00       3.382322219306e-08       1.111593243071e+00 
 1842       1.007177066589e+01       6.117138424052e-06       3.003857942587e-06       4.359179843116e-09       4.100143388255e-09       6.857132245885e-10       9.831125177022e+00       3.870688007149e-08       1.273314853423e-09       7.052239375379e-11      -4.269038960387e-10       9.603047321820e+00       1.227058814694e-09      -1.281132963554e-11      -5.304428468552e-10       1.438248267663e+00       1.847290694354e-08      -1.573551831327e-08       1.260058973056e+00       2.921898420580e-08       1.112012111168e+00 
 1843       1.007393487641e+01       6.115405910430e-06       2.999459018958e-06       4.310957063976e-09       4.045288421642e-09       6.732719289291e-10       9.833260767173e+00       2.230408849365e-08       1.157160622839e-09      -5.457585792918e-11      -4.586388088957e-10       9.605155403098e+00       1.119898231555e-09      -1.299617854060e-10      -5.559514282162e-10       1.438769453817e+00       1.400637110668e-08      -1.530982119712e-08       1.260524824890e+00       2.434100623961e-08       1.112430842602e+00 
 1844       1.007609811191e+01       6.113116958374e-06       2.994537878216e-06       4.259226413006e-09       3.986203977790e-09       6.597158485225e-10       9.835395395839e+00       5.727547808455e-09       1.041283478165e-09      -1.807006885668e-10      -4.914920837349e-10       9.607262537639e+00       1.012990462727e-09      -2.479310390696e-10      -5.819885349657e-10       1.439290464303e+00       9.383570247186e-09      -1.473681897095e-08       1.260990526000e+00       1.923544369911e-08       1.112849437269e+00 
 1845       1.007826037362e+01       6.110291035789e-06       2.989113804285e-06       4.204081735678e-09       3.922930463508e-09       6.450399948596e-10       9.837529064295e+00      -1.099071009230e-08       9.257539545899e-10      -3.077672061986e-10      -5.253682009618e-10       9.609368726651e+00       9.064093800517e-10      -3.666258659063e-10      -6.085311881538e-10       1.439811299356e+00       4.637344719436e-09      -1.403061796192e-08       1.261456076513e+00       1.394865505804e-08       1.113267895061e+00 
 1846       1.008042166274e+01       6.106947700788e-06       2.983206170136e-06       4.145617320718e-09       3.855508504684e-09       6.292393693994e-10       9.839661773763e+00      -2.781851283815e-08       8.106428884244e-10      -4.356901418222e-10      -5.601712154522e-10       9.611473971290e+00       8.002291713540e-10      -4.859526300990e-10      -6.355563039852e-10       1.440331959203e+00      -1.993211400752e-10      -1.320538721484e-08       1.261921476551e+00       8.527202135673e-09       1.113686215864e+00 
 1847       1.008258198041e+01       6.103106601824e-06       2.976834437904e-06       4.083927900719e-09       3.783978946597e-09       6.123089635608e-10       9.841793525411e+00      -4.472354738909e-08       6.960214175036e-10      -5.643838488792e-10      -5.958047559710e-10       9.613578272660e+00       6.945243408677e-10      -6.058172841743e-10      -6.630406936752e-10       1.440852444070e+00      -5.093298817021e-09      -1.227535857784e-08       1.262386726232e+00       3.017850373249e-09       1.114104399562e+00 
 1848       1.008474132770e+01       6.098787477809e-06       2.970018159015e-06       4.019108652762e-09       3.708382854239e-09       5.942437587137e-10       9.843924320353e+00      -6.167335984461e-08       5.819609815932e-10      -6.937623027409e-10      -6.321720245910e-10       9.615681631812e+00       5.893697096606e-10      -7.261253684429e-10      -6.909610633055e-10       1.441372754175e+00      -1.001131542356e-08      -1.125482678797e-08       1.262851825669e+00      -2.532430889608e-09       1.114522446033e+00 
 1849       1.008689970564e+01       6.094010158241e-06       2.962776974304e-06       3.951255199029e-09       3.628761512625e-09       5.750387261707e-10       9.846054159649e+00      -7.863535525286e-08       4.685333227947e-10      -8.237391001939e-10      -6.691757961117e-10       9.617784049745e+00       4.848404160601e-10      -8.467820104402e-10      -7.192940136795e-10       1.441892889737e+00      -1.491995350263e-08      -1.015814955687e-08       1.263316774974e+00      -8.076468138462e-09       1.114940355153e+00 
 1850       1.008905711520e+01       6.088794563329e-06       2.955130614145e-06       3.880463607421e-09       3.545156427114e-09       5.546888271793e-10       9.848183044303e+00      -9.557679741971e-08       3.558104859510e-10      -9.542274589262e-10      -7.067184174775e-10       9.619885527404e+00       3.810119160792e-10      -9.676919243667e-10      -7.480160401785e-10       1.442412850967e+00      -1.978565083227e-08      -8.999747656389e-09       1.263781574252e+00      -1.356688340765e-08       1.115358126790e+00 
 1851       1.009121355728e+01       6.083160704117e-06       2.947098898568e-06       3.806830392175e-09       3.457609323723e-09       5.331890129128e-10       9.850310975269e+00      -1.124648087178e-07       2.438648190511e-10      -1.085140217013e-09      -7.447018071969e-10       9.621986065684e+00       2.779599838415e-10      -1.088759410529e-09      -7.771035326171e-10       1.442932638072e+00      -2.457470022995e-08      -7.794105004214e-09       1.264246223606e+00      -1.895609400385e-08       1.115775760813e+00 
 1852       1.009336903274e+01       6.077128682609e-06       2.938701737386e-06       3.730452514479e-09       3.366162149446e-09       5.105342244620e-10       9.852437953441e+00      -1.292663698958e-07       1.327689736358e-10      -1.216389832401e-09      -7.830274547612e-10       9.624085665422e+00       1.757607120075e-10      -1.209888354780e-09      -8.065327750995e-10       1.443452251258e+00      -2.925324935680e-08      -6.555768749530e-09       1.264710723136e+00      -2.419631222967e-08       1.116193257082e+00 
 1853       1.009552354238e+01       6.070718691894e-06       2.929959130313e-06       3.651427383090e-09       3.270857072565e-09       4.867193928274e-10       9.854563979663e+00      -1.459483198872e-07       2.259590520271e-11      -1.347888382398e-09      -8.215964200627e-10       9.626184327408e+00       7.449051219965e-11      -1.330982227959e-09      -8.362799458744e-10       1.443971690723e+00      -3.378730052203e-08      -5.299349358638e-09       1.265175072934e+00      -2.923954510721e-08       1.116610615455e+00 
 1854       1.009767708694e+01       6.063951016271e-06       2.920891167095e-06       3.569852854950e-09       3.171736482972e-09       4.617394389100e-10       9.856689054722e+00      -1.624773556196e-07      -8.658112638829e-11      -1.479547563153e-09      -8.603093328138e-10       9.628282052373e+00      -2.577388457192e-11      -1.451944085333e-09      -8.663211171916e-10       1.444490956663e+00      -3.814271048713e-08      -4.039520700597e-09       1.265639273094e+00      -3.403759410164e-08       1.117027835786e+00 
 1855       1.009982966709e+01       6.056846031372e-06       2.911518027624e-06       3.485827235802e-09       3.068842992483e-09       4.355892735035e-10       9.858813179349e+00      -1.788200318240e-07      -1.946885565100e-10      -1.611278689148e-09      -8.990663919660e-10       9.630378840999e+00      -1.249554274836e-10      -1.572676566039e-09      -8.966322551570e-10       1.445010049269e+00      -4.228519027026e-08      -2.791020132859e-09       1.266103323701e+00      -3.854205484481e-08       1.117444917923e+00 
 1856       1.010198128347e+01       6.049424204290e-06       2.901859982067e-06       3.399449280806e-09       2.962219435151e-09       4.082637972856e-10       9.860936354223e+00      -1.949427608435e-07      -3.016525153625e-10      -1.742992692678e-09      -9.377673651276e-10       9.632474693912e+00      -2.229767454729e-10      -1.693081892519e-09      -9.271892195891e-10       1.445528968729e+00      -4.618030495051e-08      -1.568648586909e-09       1.266567224838e+00      -4.270431685877e-08       1.117861861713e+00 
 1857       1.010413193665e+01       6.041706093700e-06       2.891937390989e-06       3.310818195158e-09       2.851908867590e-09       3.797579008096e-10       9.863058579965e+00      -2.108118124425e-07      -4.073988275679e-10      -1.874600123343e-09      -9.763115879835e-10       9.634569611686e+00      -3.197601468128e-10      -1.813061869967e-09      -9.579677638740e-10       1.446047715224e+00      -4.979347347223e-08      -3.872706538963e-10       1.267030976585e+00      -4.647556327939e-08       1.118278666995e+00 
