# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   24       3.916400313877e-01       8.712748575691e-02       2.292082368455e-02       1.831515116686e-09       1.562958104063e-10       1.128054245795e-10       3.672134019942e-01       8.703014003165e-02       4.128459409627e-09       3.176109681376e-10      -1.332183190513e-10       3.448223998977e-01      -2.653485899878e-09       4.420405631286e-10      -1.582967116408e-10       4.677858261459e-03      -1.046807910257e-09      -8.160609015249e-10       1.019303222553e-04       1.239358607500e-05       9.731618884899e-05 
   25       4.114850765333e-01       8.663180610825e-02       2.091935755456e-02      -6.689515593925e-10      -1.173243750415e-10       7.741936791690e-11       3.859998327389e-01       8.706406359481e-02      -3.296014501309e-12       6.358597855338e-11      -2.355890203504e-11       3.628991856293e-01      -1.346791960851e-10      -7.596000769644e-11       1.167609137346e-10       5.066445727580e-03       6.397053207670e-10      -1.528320553970e-09       1.105219751090e-04       1.353876280955e-05       1.055179059141e-04 
   26       4.316281572311e-01       8.594392570786e-02       1.864862829172e-02       7.184763759642e-09      -2.887776406487e-11      -3.991301004076e-11       4.047904571341e-01       8.666420297553e-02      -1.859846317111e-10      -3.253885809240e-11      -1.305649287135e-10       3.807765008353e-01      -5.457366520505e-09      -2.418581989228e-10       3.228166530973e-11       5.469487764789e-03      -1.616801712462e-09      -7.145249470560e-10       1.194672286351e-04       1.474155580151e-05       1.140586757402e-04 
   27       4.522847886471e-01       8.531052039353e-02       1.631356769602e-02       1.796652322804e-09       6.598325452528e-12       1.017831634788e-10       4.237977914346e-01       8.604079542388e-02       1.768434751322e-09       4.667319425861e-11      -1.270582219283e-10       3.986219278741e-01      -6.774135773982e-10       1.841059565271e-11       7.811964667342e-11       5.886761087336e-03       7.363469977794e-10      -3.467808297974e-09       1.287650592009e-04       1.600301249409e-05       1.229345623298e-04 
   28       4.736094840507e-01       8.494719051739e-02       1.412525666669e-02      -5.619419096066e-09      -1.413454971736e-10      -6.551620755331e-11       4.432179103663e-01       8.541031579807e-02      -8.173672791881e-09       2.941958227703e-11       7.324402889457e-11       4.166201053414e-01      -1.911010386664e-09      -1.954406471677e-11       9.467195977562e-11       6.318043509364e-03      -1.166169014358e-09      -1.062013544520e-10       1.384170424899e-04       1.732290315772e-05       1.321501485597e-04 
   29       4.956730757973e-01       8.501265698702e-02       1.227741676782e-02      -1.040960875007e-10       4.100407333633e-11       1.019244058452e-10       4.632034553830e-01       8.496983642107e-02      -3.414519926382e-09      -1.257700488204e-10      -9.053001461112e-11       4.349477242835e-01      -3.837273592017e-09       6.132686917761e-11       1.312518643055e-10       6.763098953382e-03       2.055344100127e-10      -5.056593710432e-09       1.484218040754e-04       1.870278908234e-05       1.417010599762e-04 
   30       5.184533645401e-01       8.559401761511e-02       1.092962952318e-02      -1.598702092369e-09       1.003659633736e-10       1.451362877586e-10       4.838469963151e-01       8.487887619179e-02      -1.288664709563e-09      -1.892470528321e-10      -1.157637616851e-10       4.537547533143e-01      -7.814661044638e-10       1.567944548541e-10       1.084301597606e-10       7.221683054661e-03       9.182733874147e-10      -6.705186837422e-09       1.587802116983e-04       2.014216491240e-05       1.515901333819e-04 
   31       5.418217955490e-01       8.667994809675e-02       1.017310417560e-02      -5.013466307132e-09       6.142794499752e-11      -4.301326553714e-13       5.051502533413e-01       8.522410070546e-02      -1.111037283630e-09      -1.439266832320e-10       7.435709578735e-12       4.731275223123e-01       4.521011101334e-09       1.979514629006e-10       2.284754584778e-11       7.693546349208e-03       5.716027089579e-10      -4.144581947238e-09       1.694922297860e-04       2.164125758302e-05       1.618175638780e-04 
   32       5.655773366767e-01       8.819367729299e-02       1.005696181846e-02       1.883099544414e-09       1.411159800826e-10      -1.527781835510e-10       5.270568710800e-01       8.604784917303e-02       5.349132178591e-09      -6.280031975672e-11       6.450874251317e-11       4.931159012600e-01       7.209351129824e-09       1.951680504811e-10      -7.804627914702e-11       8.178432869406e-03       1.080258500245e-09      -2.253076006214e-09       1.805572364994e-04       2.320065692883e-05       1.723818942231e-04 
   33       5.894544728228e-01       8.997034115747e-02       1.054126576640e-02       8.545049418206e-09       2.105159643349e-10      -2.382932291888e-10       5.494203473724e-01       8.730266041520e-02       8.567738718394e-09      -2.747183963770e-11       9.800319570026e-11       5.136840168607e-01       3.431428397017e-09       1.207225119344e-10      -1.450317954631e-10       8.676081974961e-03       1.902368534400e-09      -1.365710545937e-09       1.919749600237e-04       2.482052101770e-05       1.832828995714e-04 
