# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   35       6.362613210139e-01       1.285184248943e-02      -1.109387768864e-08       7.096889379864e-10      -7.671990748639e-09       5.560521865482e-01       1.087006881321e-08       1.978224612567e-09      -1.264999149134e-08       2.352289347041e-01      -1.687158632210e-09       1.276998604985e-08       4.342879765822e-02       2.701623678801e-09       9.707998167643e-03 
   36       6.587497406828e-01       1.430981657733e-02      -6.593180926653e-09      -1.273914026284e-09       6.155625182745e-09       5.775788666320e-01       7.161032779861e-09       3.611846783896e-10       9.071663554266e-09       2.452931374312e-01      -3.841611648272e-10       1.947694369966e-08       4.557521805219e-02      -1.302747204263e-09       1.024230636753e-02 
   37       6.803568783628e-01       1.567628895527e-02      -1.214304470367e-08      -1.240526781291e-09       5.455634282202e-09       5.990215165023e-01       1.104408310724e-08       3.045478265656e-09       1.444823275225e-08       2.553078126601e-01      -1.064709071223e-09      -6.118056818004e-09       4.775276555175e-02       3.726301577991e-09       1.078829462460e-02 
   38       7.010296653753e-01       1.673358682155e-02      -7.179422343106e-09       5.292956655675e-10      -2.360319542996e-09       6.201555703339e-01       6.711618514636e-09      -5.413254568067e-10      -5.423618426462e-09       2.652487367977e-01      -1.381403892092e-09      -1.023788038935e-08       4.996084532160e-02      -1.727303651356e-09       1.134570950156e-02 
   39       7.208297780542e-01       1.729848853666e-02      -1.295129595340e-08      -2.989576367869e-09      -2.114943562048e-09       6.407795086043e-01       1.182301763546e-08       3.199941487495e-09      -1.098433484518e-08       2.750963470841e-01      -5.871935569354e-10      -1.114750618500e-09       5.219897259716e-02      -1.048754688903e-11       1.191426643591e-02 
   40       7.399232786321e-01       1.724483652975e-02      -7.566979044562e-09       1.995620005199e-09       7.841281691228e-10       6.607388778921e-01       7.068232606676e-09       2.930545088098e-10       1.977475441385e-09       2.848366401529e-01      -2.412400048657e-09       8.498598424586e-09       5.446679626644e-02       9.958982863645e-10       1.249370331687e-02 
   41       7.585553594892e-01       1.651843421994e-02      -1.440346930373e-08      -2.626748402974e-09       1.228320199421e-09       6.799449240119e-01       1.192572251783e-08       1.367239470070e-09       5.567409469664e-09       2.944618430458e-01       2.077691319443e-10       1.061886490616e-08       5.676404694440e-02      -3.873050170758e-09       1.308375721898e-02 
   42       7.770147756466e-01       1.514173847580e-02      -7.938792494973e-09       1.509486390605e-09      -1.319926516775e-12       6.983857197497e-01       7.390079295231e-09       2.125221511475e-09      -1.666122421473e-10       3.039707693987e-01      -3.698970983750e-09      -8.150249359030e-09       5.909057585700e-02      -1.289625952598e-09       1.368415302685e-02 
   43       7.955948426218e-01       1.320887039644e-02      -1.608559011762e-08       3.780332557111e-10       7.785231516078e-11       7.161270737998e-01       1.210941886965e-08      -1.844235444352e-09      -2.758837316007e-09       3.133688763864e-01       4.043741943229e-10      -6.353877057158e-09       6.144629251402e-02      -1.983147095805e-09       1.429464728968e-02 
   44       8.145563438397e-01       1.087196720859e-02      -7.757839540059e-09      -3.168121657315e-10       1.176012668858e-10       7.333041236633e-01       8.131953413435e-09       3.793186103649e-09      -1.643251636690e-10       3.226679848562e-01      -3.064637353395e-09      -3.784825338739e-09       6.383120325509e-02      -6.442342568726e-09       1.491497162653e-02 
