# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[2]-dens[2]        8:dens[2]-dens[3]        9:dens[2]-dens[4]       10:dens[2]-dens[5]       11:dens[3]-dens[3]       12:dens[3]-dens[4]       13:dens[3]-dens[5]       14:dens[4]-dens[4]       15:dens[4]-dens[5]       16:dens[5]-dens[5]    
   29       4.956437923330e-01      -1.311502926867e-10       4.088083984691e-10      -1.865330044521e-10      -1.471920022401e-08       8.462803322222e-02      -2.941725771892e-09       1.375898888359e-09      -2.799223366500e-09       3.125590720621e-02      -1.525221266434e-07       1.879412939962e-09       1.519405257301e-02      -1.054530187270e-06       8.622362519813e-03 
   30       5.184195214859e-01       2.108474354521e-09      -1.559265301883e-09      -1.044845641094e-09      -1.415793425059e-08       8.944744630608e-02      -1.629838497491e-09       8.407324779260e-10       1.066700852281e-09       3.319536934813e-02      -1.240162316558e-07       2.166431595220e-10       1.618929272625e-02      -9.347617905610e-07       9.202347506575e-03 
   31       5.417883963310e-01       1.002537808726e-09       1.066516202439e-09       3.273231164398e-11       2.098476789090e-08       9.435809025584e-02      -2.879916033764e-09      -1.241939975107e-09      -3.554226564502e-09       3.517246395925e-02      -1.013602212301e-07       3.314008022692e-09       1.720895314780e-02      -8.237244328084e-07       9.798478201858e-03 
   32       5.655440060267e-01       6.128515419104e-10      -2.473760130189e-09       8.175084025927e-10       1.575700130132e-08       9.936072411949e-02      -8.776393236449e-10      -2.707170654587e-09      -1.156052191973e-09       3.718574825016e-02      -8.129133776301e-08      -3.362870096645e-10       1.825224393184e-02      -7.258668042707e-07       1.041039874318e-02 
   33       5.894166881135e-01       1.810529098507e-09       6.917599305299e-10       2.612977737172e-10      -1.473165716370e-08       1.044559715354e-01      -2.163414945036e-09      -1.105739980556e-09      -2.341932903727e-09       3.923392789631e-02      -6.554970123635e-08       4.156094665024e-09       1.931838703806e-02      -6.378893615158e-07       1.103772254117e-02 
   34       6.131056448870e-01       3.604998425798e-11      -2.575468615257e-09      -4.538821057190e-10      -2.023959194914e-08       1.096441795845e-01       7.353976032702e-11       7.134182159204e-10      -5.877535652851e-09       4.131584851660e-02      -5.380481514793e-08       3.055315417630e-10       2.040662079922e-02      -5.587226751850e-07       1.168009026811e-02 
   35       6.363181036287e-01      -1.217915089802e-09      -1.453958468853e-10      -2.607507932837e-10       1.424031490258e-09       1.149252948980e-01      -8.776022351383e-10       7.066938236719e-10      -4.481107934748e-10       4.343050165793e-02      -4.237676532988e-08       2.979205192182e-09       2.151621297647e-02      -4.912531154290e-07       1.233711428599e-02 
   36       6.588097667051e-01       9.737184390018e-10      -1.430140914362e-09      -1.300622865289e-11       1.229995485547e-08       1.202987657204e-01      -3.201358185340e-10      -3.353163726146e-10      -8.312099103154e-09       4.557702043193e-02      -3.447469336993e-08       2.160498230814e-09       2.264645141931e-02      -4.261313652153e-07       1.300842946212e-02 
   37       6.804202273904e-01      -3.020032049045e-09      -2.234148222067e-09       1.067991984665e-10       1.518174854618e-09       1.257634322656e-01      -7.208400051275e-10       9.236865791690e-11      -1.992413906719e-09       4.775466926050e-02      -2.680508670572e-08       1.083273230281e-09       2.379665159837e-02      -3.751012484678e-07       1.369366105368e-02 
   38       7.010964366332e-01      -1.794411425951e-09       3.246035054109e-10      -2.002492545378e-10      -2.567346775741e-09       1.313174663513e-01      -1.416690723246e-09       7.552151529231e-10      -5.372774393613e-09       4.996285296074e-02      -2.295386559010e-08       4.246001073963e-09       2.496616460631e-02      -3.241820452055e-07       1.439243594262e-02 
