# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[1]-dens[2]        4:dens[1]-dens[3]        5:dens[1]-dens[4]        6:dens[1]-dens[5]        7:dens[1]-dens[6]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[2]-dens[4]       11:dens[2]-dens[5]       12:dens[2]-dens[6]       13:dens[3]-dens[3]       14:dens[3]-dens[4]       15:dens[3]-dens[5]       16:dens[3]-dens[6]       17:dens[4]-dens[4]       18:dens[4]-dens[5]       19:dens[4]-dens[6]       20:dens[5]-dens[5]       21:dens[5]-dens[6]       22:dens[6]-dens[6]    
   27       4.522827317097e-01       8.531035424033e-02       1.631352706482e-02      -5.854124363069e-09      -7.298467984364e-08      -1.530038085106e-08       4.237958074435e-01       8.604063822552e-02      -1.929970336275e-08      -5.723087953022e-08       1.371512546779e-07       3.986201944253e-01       1.244645416704e-07       3.448830574933e-08       1.913786995479e-07       5.886769271591e-03      -5.997226446638e-05      -4.766216079122e-06       4.711905054514e-03      -6.236297533157e-05       3.839879460612e-03 
   28       4.736072857933e-01       8.494702878987e-02       1.412522488788e-02      -4.034654505355e-08       1.842534505804e-07       5.043133831704e-08       4.432158107273e-01       8.541015046142e-02      -6.319963502044e-08       5.611146340995e-08       1.802662235084e-08       4.166182548961e-01       5.618453336267e-08      -5.884997964989e-08      -1.941191046715e-08       6.318091851772e-03      -6.017862558810e-05      -4.532754192665e-06       5.058832977882e-03      -6.305199677294e-05       4.123716987980e-03 
   29       4.956707674857e-01       8.501250184400e-02       1.227739183717e-02       9.360674940455e-08       9.834563057219e-08       2.741939080216e-08       4.632011998853e-01       8.496967140808e-02       3.986580641304e-08       1.217450511801e-07       9.696990943622e-08       4.349457793444e-01       3.446663982872e-08       1.071546726423e-07      -1.008317233503e-07       6.763140899068e-03      -6.016882693118e-05      -4.309367504238e-06       5.417176668118e-03      -6.352503264439e-05       4.416987900974e-03 
   30       5.184483544118e-01       8.559041762469e-02       1.092595809922e-02       1.148058357915e-07      -4.532056579808e-10       3.273378769047e-08       4.838409552995e-01       8.487494256408e-02       2.882472200016e-08      -1.794508009331e-07      -3.165096926332e-08       4.537488624759e-01       1.414428092293e-07      -5.535640915567e-08      -3.876340004789e-08       7.221703944148e-03      -6.003869837717e-05      -4.063197779588e-06       5.786662630452e-03      -6.382571139098e-05       4.719653846411e-03 
   31       5.418191931623e-01       8.667980697179e-02       1.017309385399e-02      -1.872055639637e-08      -1.299424630713e-07       1.620554687510e-07       5.051477336839e-01       8.522393141895e-02      -3.389515728938e-08      -1.091323777404e-07       2.578967011592e-08       4.731253273392e-01      -5.181387320254e-08      -1.397662894609e-07      -9.498102231912e-08       7.693607538176e-03      -5.970715081183e-05      -3.838202576279e-06       6.167223756516e-03      -6.398368525895e-05       5.031519666752e-03 
   32       5.655767984240e-01       8.819408327856e-02       1.005587390987e-02       1.819335312455e-07      -1.336311691940e-07       7.227650207267e-09       5.270542845122e-01       8.604684998761e-02      -8.020378067039e-08      -4.409492774108e-08       9.374940206607e-09       4.931124859346e-01      -2.715193904879e-08       1.413922342072e-07       2.254595403246e-09       8.178464011292e-03      -5.923403426287e-05      -3.623860867210e-06       6.558572685537e-03      -6.395741826168e-05       5.352516081222e-03 
   33       5.894515593271e-01       8.997018953663e-02       1.054123983208e-02      -1.003981326781e-07       3.875589869244e-08      -1.355366996578e-07       5.494175671961e-01       8.730250068126e-02       3.259231918617e-08       1.165249385451e-07      -1.539179919931e-07       5.136815512730e-01       3.346512489101e-09       1.461207532249e-07       1.800913419602e-08       8.676127757696e-03      -5.866806975496e-05      -3.377057680919e-06       6.960600053833e-03      -6.377406983123e-05       5.682453064252e-03 
   34       6.131426673187e-01       9.178636032966e-02       1.152716541506e-02      -3.346776926341e-07      -1.211434639005e-07       3.577283040779e-08       5.720318998736e-01       8.888194491537e-02      -1.439202477895e-07       1.482471362590e-07       1.299854104096e-08       5.347385462621e-01       5.315343861274e-09       5.969479948135e-08      -2.699624747846e-08       9.186282978757e-03      -5.788195277786e-05      -3.206625653076e-06       7.373099898386e-03      -6.349474093694e-05       6.021220634259e-03 
   35       6.363572975972e-01       9.338936553296e-02       1.285165535354e-02      -6.625587362600e-08      -2.519816315692e-09      -1.285806535182e-07       5.946501694449e-01       9.061896631661e-02       1.142903476215e-08       3.638899558487e-09       1.281736797444e-07       5.561310937234e-01      -3.622302787349e-08      -5.439368811152e-08       2.308104013602e-07       9.708652784408e-03      -5.708513165202e-05      -2.950123395260e-06       7.795832964100e-03      -6.301019017521e-05       6.368704771338e-03 
   36       6.588512646930e-01       9.452747415079e-02       1.430963227151e-02       6.343764130386e-08       1.119157286272e-07      -1.310893579760e-08       6.170111916072e-01       9.230763988381e-02       4.030777123267e-07       8.548325861766e-08       3.166650413858e-08       5.776622636308e-01       9.684129023987e-08      -1.777307538436e-07       5.566340226171e-08       1.024299942648e-02      -5.610454206469e-05      -2.806020294397e-06       8.228656149885e-03      -6.245784376566e-05       6.724664842586e-03 
   37       6.804640208827e-01       9.498501844260e-02       1.567609375756e-02       1.158395938642e-07       2.396436083621e-08       2.553412617043e-07       6.388716693186e-01       9.372572302785e-02       9.956030171990e-08       6.361439860478e-08       1.084773091041e-07       5.991096210519e-01       7.477225603780e-08      -2.485620240488e-08      -7.174563972541e-08       1.078902171777e-02      -5.504252182491e-05      -2.576882925012e-06       8.671387866027e-03      -6.176480189839e-05       7.089065396586e-03 
   38       7.011426435972e-01       9.461397717836e-02       1.673338656387e-02      -1.104516640664e-07       1.033261313044e-07       6.011949445378e-08       6.600369967498e-01       9.466156930185e-02      -8.925046537716e-08      -1.451704192185e-07       1.133019551804e-07       6.202483980800e-01      -3.900151933503e-07      -6.385078493186e-08       3.250745791150e-08       1.134649075837e-02      -5.394625157696e-05      -2.414442438671e-06       9.123707192205e-03      -6.095685766079e-05       7.461723263698e-03 
   39       7.209487304327e-01       9.335549429220e-02       1.729826341217e-02      -1.180247992389e-08       6.540415832880e-08      -2.682565364270e-07       6.803870571799e-01       9.494117759621e-02      -1.265902667216e-07      -1.506229388448e-08      -2.998502322042e-07       6.408772589504e-01      -1.830354825540e-07      -1.150070384691e-07      -1.103352844333e-07       1.191506718828e-02      -5.267455948528e-05      -2.248744159790e-06       9.585565162587e-03      -6.006511012659e-05       7.842360223179e-03 
   40       7.400483280731e-01       9.124925057960e-02       1.724463523155e-02       2.700093376320e-07      -2.422107186980e-07      -1.742617542962e-07       6.998925945124e-01       9.445126021732e-02      -2.790720779681e-08      -7.389780210749e-08      -1.392537274454e-07       6.608416762494e-01       1.557305384979e-07       1.671449142248e-07      -9.972324369705e-08       1.249453674136e-02      -5.144298764904e-05      -2.072361116887e-06       1.005671356508e-02      -5.905908716455e-05       8.231094387563e-03 
   41       7.586867161765e-01       8.842816446379e-02       1.651819776198e-02       1.710771388422e-08      -3.763140092699e-08       1.769929091814e-07       7.186183788933e-01       9.315485416252e-02       7.909293504530e-08      -9.961153532465e-08       2.271666542728e-07       6.800528554039e-01       1.171280528126e-07       7.317703269357e-09       2.427642246751e-07       1.308469267914e-02      -5.008015436836e-05      -1.933268391772e-06       1.053679242971e-02      -5.801404039770e-05       8.627459464735e-03 
   42       7.771525345706e-01       8.509995955285e-02       1.514149882988e-02       7.778318320068e-08       3.389991078940e-08       3.025861984110e-08       7.367138681513e-01       9.109659706428e-02      -2.532321107934e-07       2.556973288622e-07       1.366142285690e-07       6.984989265751e-01       1.363358135010e-07       6.320899430996e-08       2.549319769725e-07       1.368503965219e-02      -4.867339149342e-05      -1.764056991963e-06       1.102592960757e-02      -5.682751681452e-05       9.031543838630e-03 
   43       7.957391772185e-01       8.152018122333e-02       1.320864812756e-02      -5.585436834905e-08      -7.197844296245e-08      -6.780793933541e-08       7.543927321955e-01       8.839727416252e-02      -4.527987366937e-08       8.837114559726e-08      -1.435308621289e-07       7.162457350230e-01      -7.685748939220e-08       8.605338165743e-08      -2.470473295649e-07       1.429563089379e-02      -4.729191937869e-05      -1.676933755205e-06       1.152355411808e-02      -5.563048840922e-05       9.443042679286e-03 
   44       8.147074472575e-01       7.796024280420e-02       1.087171467917e-02      -2.347789211111e-07       2.753310496067e-07      -4.936731089138e-08       7.719042837927e-01       8.523900015312e-02       6.907509891125e-08      -3.967816521004e-08      -1.900548187890e-07       7.334282719220e-01       1.480081623443e-07      -2.048097330530e-07      -2.144497287472e-07       1.491603448553e-02      -4.577956072127e-05      -1.483777544773e-06       1.202976615804e-02      -5.436836729070e-05       9.861906994045e-03 
   45       8.342555472031e-01       7.467609374706e-02       8.322083287218e-03      -2.845577765047e-08       2.298644133137e-07       3.054689784903e-08       7.895030469383e-01       8.184314244137e-02       2.716901953187e-08       4.053191099374e-08       7.759992195537e-08       7.502338777089e-01       1.149738502852e-07      -2.052299223276e-07       7.762373387305e-08       1.554588472928e-02      -4.431448892407e-05      -1.411171608458e-06       1.254417469993e-02      -5.301496716646e-05       1.028787822829e-02 
   46       8.544985288919e-01       7.188118663345e-02       5.768632888737e-03      -1.007873764713e-07      -2.429079941254e-07       8.021481043691e-08       8.074193072600e-01       7.844521116698e-02       2.690283329475e-07      -1.680713193372e-07      -1.191297539443e-09       7.668795669773e-01      -1.720081412111e-07       7.138999154956e-08       1.052368447259e-07       1.618529656256e-02      -4.281537477876e-05      -1.283465843737e-06       1.306668430204e-02      -5.166384568088e-05       1.072090433510e-02 
   47       8.754574388139e-01       6.972556826556e-02       3.416304684418e-03      -7.072136050461e-08      -2.976837627422e-07      -2.505263742864e-08       8.258341683167e-01       7.527011324531e-02       9.514046414695e-08      -3.319881107381e-07      -1.874946970260e-08       7.835872911794e-01      -5.030030398852e-08      -4.367570898977e-08      -4.367389744677e-08       1.683363399965e-02      -4.128688044566e-05      -1.175604534536e-06       1.359709942777e-02      -5.024794723497e-05       1.116074598971e-02 
   48       8.970598219736e-01       6.828289067147e-02       1.447126336938e-03       3.188005278271e-07       2.766106573271e-07       9.010565708696e-08       8.448626659331e-01       7.250974152648e-02      -6.601643949152e-08       2.146637605555e-07      -1.539171907660e-08       8.005606505599e-01      -1.674827943934e-07       8.156006912562e-08      -1.489682033227e-07       1.749095047918e-02      -3.976557390049e-05      -1.079138523728e-06       1.413519372915e-02      -4.883111668556e-05       1.160731980566e-02 
   49       9.191494169259e-01       6.754545703654e-02       3.683982684391e-06       4.610932670659e-08       2.605605327583e-07       1.729231442230e-08       8.645435486407e-01       7.030587143242e-02       7.910204781820e-08       3.558901877593e-07       6.151990235129e-09       8.179647659056e-01      -1.713112474961e-07       3.700739844550e-07       2.965461253078e-08       1.815687223903e-02      -3.827417360310e-05      -9.827550679470e-07       1.468074486373e-02      -4.735071316518e-05       1.206049143441e-02 
   50       9.415046928494e-01       6.742714240453e-02      -8.229426748825e-04      -5.302190779118e-09      -8.868276835432e-08       4.916465995423e-08       8.848373578466e-01       6.873887890566e-02      -2.960758831521e-07      -2.032100330303e-07       9.062753500954e-08       8.359110907248e-01       2.128401022292e-07      -1.614579932928e-07      -2.539535699391e-08       1.883124464520e-02      -3.670707402251e-05      -8.883211213036e-07       1.523376953107e-02      -4.587335063802e-05       1.251992184697e-02 
   51       9.638653844546e-01       6.777402621958e-02      -1.000609638191e-03       7.783977249020e-08      -1.554866861301e-07       7.574395254626e-08       9.056324830822e-01       6.782208526572e-02      -1.737888868097e-07      -3.255510301228e-07      -7.133454917182e-09       8.544490684275e-01       1.932199936461e-08      -3.928919604944e-07      -1.136522342690e-08       1.951385151784e-02      -3.528678863386e-05      -8.571046521240e-07       1.579385670153e-02      -4.442620927437e-05       1.298583806573e-02 
   52       9.859629509606e-01       6.838209003282e-02      -5.587456006817e-04      -3.479449121697e-07       8.530303795966e-09      -4.182076941815e-08       9.267573166716e-01       6.750238268421e-02       1.501940723517e-07      -5.396284128208e-10       9.313733370967e-08       8.735630560615e-01       1.863954219208e-07       5.059086823772e-08       1.890730825265e-08       2.020454496903e-02      -3.375318788495e-05      -7.155996686795e-07       1.636092260912e-02      -4.287599055172e-05       1.345773084996e-02 
   53       1.007552832210e+00       6.902044237573e-02       4.150037823332e-04      -2.449989306949e-07       9.533246793671e-08       2.132970408676e-08       9.479985813582e-01       6.766706298751e-02      -7.585803379592e-09       2.318138326768e-07       2.279825040036e-08       8.931749991215e-01       2.764600938151e-07       4.360361776856e-07      -1.571413632588e-08       2.090294469197e-02      -3.230452060214e-05      -6.607249725407e-07       1.693488220621e-02      -4.144765186348e-05       1.393564827289e-02 
