#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.074492e-06 1.075461e+02 1.075465e+02 1.018414e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.835091e-09 5.991993e-08 2.084459e-07 -7.364603e-13 4.922396e+03 4.588170e+06 9.708617e+05 -2.320763e-03 -4.988591e-02 -2.249044e-01 -1.107994e-01 2.950310e-02 8.472982e-01 4.160661e-03 2.641372e-07 8.949520e-07 -1.554912e-07
1.077713e-06 1.075461e+02 1.075465e+02 1.022931e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.861544e-09 6.016513e-08 2.089758e-07 -7.410664e-13 4.915847e+03 4.575974e+06 9.682888e+05 -2.324268e-03 -4.996578e-02 -2.252629e-01 -1.109840e-01 2.955231e-02 8.475576e-01 4.160691e-03 2.652584e-07 8.978925e-07 -1.560127e-07
1.080944e-06 1.075461e+02 1.075465e+02 1.027467e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.888118e-09 6.041134e-08 2.095070e-07 -7.457012e-13 4.909308e+03 4.563809e+06 9.657227e+05 -2.327778e-03 -5.004578e-02 -2.256220e-01 -1.111689e-01 2.960160e-02 8.478171e-01 4.160721e-03 2.663844e-07 9.008426e-07 -1.565359e-07
1.084185e-06 1.075461e+02 1.075465e+02 1.032024e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.914812e-09 6.065855e-08 2.100395e-07 -7.503650e-13 4.902777e+03 4.551677e+06 9.631634e+05 -2.331293e-03 -5.012591e-02 -2.259816e-01 -1.113540e-01 2.965097e-02 8.480767e-01 4.160751e-03 2.675152e-07 9.038025e-07 -1.570609e-07
1.087436e-06 1.075461e+02 1.075465e+02 1.036601e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.941626e-09 6.090678e-08 2.105733e-07 -7.550580e-13 4.896255e+03 4.539577e+06 9.606108e+05 -2.334814e-03 -5.020617e-02 -2.263418e-01 -1.115395e-01 2.970043e-02 8.483363e-01 4.160781e-03 2.686507e-07 9.067720e-07 -1.575877e-07
1.090696e-06 1.075461e+02 1.075465e+02 1.041199e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.968563e-09 6.115602e-08 2.111084e-07 -7.597803e-13 4.889741e+03 4.527510e+06 9.580650e+05 -2.338340e-03 -5.028655e-02 -2.267026e-01 -1.117253e-01 2.974997e-02 8.485961e-01 4.160812e-03 2.697911e-07 9.097513e-07 -1.581163e-07
1.093966e-06 1.075461e+02 1.075465e+02 1.045816e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 5.995621e-09 6.140629e-08 2.116448e-07 -7.645322e-13 4.883236e+03 4.515474e+06 9.555260e+05 -2.341872e-03 -5.036707e-02 -2.270639e-01 -1.119114e-01 2.979959e-02 8.488559e-01 4.160842e-03 2.709363e-07 9.127404e-07 -1.586466e-07
1.097246e-06 1.075461e+02 1.075465e+02 1.050454e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.022803e-09 6.165757e-08 2.121826e-07 -7.693138e-13 4.876740e+03 4.503470e+06 9.529937e+05 -2.345409e-03 -5.044771e-02 -2.274259e-01 -1.120978e-01 2.984930e-02 8.491158e-01 4.160872e-03 2.720863e-07 9.157394e-07 -1.591787e-07
1.100536e-06 1.075461e+02 1.075465e+02 1.055113e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.050107e-09 6.190989e-08 2.127217e-07 -7.741253e-13 4.870252e+03 4.491499e+06 9.504681e+05 -2.348951e-03 -5.052848e-02 -2.277884e-01 -1.122845e-01 2.989909e-02 8.493757e-01 4.160902e-03 2.732413e-07 9.187481e-07 -1.597126e-07
1.103835e-06 1.075461e+02 1.075465e+02 1.059793e-09 3.755308e+00 1.947944e+01 3.755971e+00 1.948245e+01 6.077535e-09 6.216323e-08 2.132621e-07 -7.789669e-13 4.863773e+03 4.479559e+06 9.479493e+05 -2.352499e-03 -5.060939e-02 -2.281515e-01 -1.124715e-01 2.994896e-02 8.496358e-01 4.160932e-03 2.744011e-07 9.217668e-07 -1.602482e-07
