# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
8.5454e-02 4.6158e+03 1.8629e+02 1.5035e+01 1.0076e+04 5.3644e+03 3.2119e+02 7.8284e+02 5.9347e+02 -1.3384e+02 -6.2155e+01 1.1203e+03 7.1209e+02 0.0000e+00 0.0000e+00
9.2652e-02 3.9578e+03 1.7549e+02 2.3286e+01 8.7562e+03 4.7068e+03 3.4261e+02 7.6317e+02 6.2256e+02 -1.4173e+02 -6.6257e+01 1.0435e+03 6.6928e+02 0.0000e+00 0.0000e+00
1.0046e-01 3.4378e+03 1.6637e+02 2.9456e+01 7.7124e+03 4.1884e+03 3.5963e+02 7.4204e+02 6.4601e+02 -1.4802e+02 -6.9501e+01 9.6807e+02 6.2737e+02 0.0000e+00 0.0000e+00
1.0892e-01 3.0775e+03 1.6081e+02 3.3512e+01 6.9975e+03 3.8392e+03 3.7380e+02 7.1955e+02 6.6546e+02 -1.5361e+02 -7.2384e+01 8.9381e+02 5.8687e+02 0.0000e+00 0.0000e+00
1.1809e-01 2.8173e+03 1.5716e+02 3.6605e+01 6.4903e+03 3.5980e+03 3.8748e+02 6.9576e+02 6.8320e+02 -1.5911e+02 -7.5202e+01 8.2135e+02 5.4811e+02 0.0000e+00 0.0000e+00
1.2804e-01 2.5524e+03 1.5106e+02 4.0152e+01 5.9672e+03 3.3464e+03 4.0151e+02 6.7075e+02 6.9974e+02 -1.6417e+02 -7.7734e+01 7.5187e+02 5.1107e+02 0.0000e+00 0.0000e+00
1.3883e-01 2.2227e+03 1.3958e+02 4.4360e+01 5.2936e+03 3.0102e+03 4.1359e+02 6.4459e+02 7.1249e+02 -1.6765e+02 -7.9344e+01 6.8640e+02 4.7547e+02 0.0000e+00 0.0000e+00
1.5052e-01 1.8786e+03 1.2514e+02 4.7783e+01 4.5725e+03 2.6421e+03 4.2008e+02 6.1745e+02 7.1784e+02 -1.6873e+02 -7.9605e+01 6.2511e+02 4.4117e+02 0.0000e+00 0.0000e+00
1.6320e-01 1.6101e+03 1.1243e+02 4.9125e+01 4.0021e+03 2.3505e+03 4.2027e+02 5.8955e+02 7.1545e+02 -1.6788e+02 -7.8809e+01 5.6737e+02 4.0839e+02 0.0000e+00 0.0000e+00
1.7694e-01 1.4267e+03 1.0217e+02 4.8824e+01 3.6107e+03 2.1543e+03 4.1734e+02 5.6111e+02 7.0872e+02 -1.6624e+02 -7.7578e+01 5.1289e+02 3.7745e+02 0.0000e+00 0.0000e+00
1.9185e-01 1.2601e+03 9.1214e+01 4.8073e+01 3.2499e+03 1.9720e+03 4.1346e+02 5.3231e+02 6.9979e+02 -1.6416e+02 -7.6072e+01 4.6212e+02 3.4829e+02 0.0000e+00 0.0000e+00
2.0801e-01 1.0783e+03 7.8630e+01 4.6974e+01 2.8458e+03 1.7607e+03 4.0667e+02 5.0329e+02 6.8660e+02 -1.6099e+02 -7.3934e+01 4.1546e+02 3.2067e+02 0.0000e+00 0.0000e+00
2.2553e-01 9.2144e+02 6.6541e+01 4.4933e+01 2.4880e+03 1.5712e+03 3.9539e+02 4.7428e+02 6.6779e+02 -1.5649e+02 -7.1091e+01 3.7260e+02 2.9459e+02 0.0000e+00 0.0000e+00
2.4453e-01 8.0088e+02 5.5236e+01 4.2020e+01 2.2055e+03 1.4220e+03 3.8157e+02 4.4550e+02 6.4561e+02 -1.5137e+02 -6.7918e+01 3.3316e+02 2.7017e+02 0.0000e+00 0.0000e+00
2.6512e-01 6.8946e+02 4.4063e+01 3.8591e+01 1.9385e+03 1.2784e+03 3.6617e+02 4.1710e+02 6.2104e+02 -1.4584e+02 -6.4541e+01 2.9718e+02 2.4730e+02 0.0000e+00 0.0000e+00
2.8746e-01 5.8889e+02 3.3404e+01 3.4769e+01 1.6907e+03 1.1423e+03 3.4837e+02 3.8925e+02 5.9340e+02 -1.3971e+02 -6.0864e+01 2.6451e+02 2.2588e+02 0.0000e+00 0.0000e+00
3.1167e-01 5.0501e+02 2.3254e+01 3.0573e+01 1.4769e+03 1.0238e+03 3.2889e+02 3.6209e+02 5.6358e+02 -1.3318e+02 -5.7025e+01 2.3487e+02 2.0593e+02 0.0000e+00 0.0000e+00
3.3792e-01 4.3072e+02 1.3780e+01 2.6114e+01 1.2820e+03 9.1377e+02 3.0822e+02 3.3575e+02 5.3220e+02 -1.2643e+02 -5.3115e+01 2.0808e+02 1.8734e+02 0.0000e+00 0.0000e+00
3.6639e-01 3.6639e+02 5.0119e+00 2.1559e+01 1.1077e+03 8.1353e+02 2.8648e+02 3.1034e+02 4.9950e+02 -1.1944e+02 -4.9154e+01 1.8393e+02 1.7008e+02 0.0000e+00 0.0000e+00
3.9725e-01 3.1067e+02 -2.9876e+00 1.6971e+01 9.5169e+02 7.2212e+02 2.6412e+02 2.8595e+02 4.6602e+02 -1.1234e+02 -4.5212e+01 1.6222e+02 1.5406e+02 0.0000e+00 0.0000e+00
4.3071e-01 2.6235e+02 -1.0135e+01 1.2484e+01 8.1202e+02 6.3850e+02 2.4141e+02 2.6263e+02 4.3212e+02 -1.0516e+02 -4.1325e+01 1.4272e+02 1.3924e+02 0.0000e+00 0.0000e+00
4.6699e-01 2.2057e+02 -1.6381e+01 8.1955e+00 6.8742e+02 5.6215e+02 2.1865e+02 2.4044e+02 3.9817e+02 -9.7977e+01 -3.7531e+01 1.2525e+02 1.2553e+02 0.0000e+00 0.0000e+00
5.0632e-01 1.8450e+02 -2.1670e+01 4.2133e+00 5.7660e+02 4.9246e+02 1.9614e+02 2.1941e+02 3.6453e+02 -9.0817e+01 -3.3861e+01 1.0963e+02 1.1289e+02 0.0000e+00 0.0000e+00
5.4897e-01 1.5344e+02 -2.5957e+01 6.3111e-01 4.7853e+02 4.2896e+02 1.7414e+02 1.9955e+02 3.3149e+02 -8.3722e+01 -3.0341e+01 9.5675e+01 1.0125e+02 0.0000e+00 0.0000e+00
5.9521e-01 1.2677e+02 -2.9215e+01 -2.4677e+00 3.9232e+02 3.7128e+02 1.5293e+02 1.8087e+02 2.9933e+02 -7.6730e+01 -2.6991e+01 8.3233e+01 9.0549e+01 0.0000e+00 0.0000e+00
6.4535e-01 1.0398e+02 -3.1435e+01 -5.0174e+00 3.1718e+02 3.1908e+02 1.3273e+02 1.6337e+02 2.6833e+02 -6.9874e+01 -2.3830e+01 7.2161e+01 8.0732e+01 0.0000e+00 0.0000e+00
6.9971e-01 8.4606e+01 -3.2634e+01 -6.9755e+00 2.5239e+02 2.7210e+02 1.1379e+02 1.4702e+02 2.3871e+02 -6.3192e+01 -2.0873e+01 6.2327e+01 7.1745e+01 0.0000e+00 0.0000e+00
7.5865e-01 6.8239e+01 -3.2861e+01 -8.3278e+00 1.9725e+02 2.3010e+02 9.6270e+01 1.3180e+02 2.1067e+02 -5.6721e+01 -1.8131e+01 5.3615e+01 6.3541e+01 0.0000e+00 0.0000e+00
8.2255e-01 5.4524e+01 -3.2201e+01 -9.0921e+00 1.5106e+02 1.9286e+02 8.0342e+01 1.1771e+02 1.8441e+02 -5.0505e+01 -1.5613e+01 4.5920e+01 5.6071e+01 0.0000e+00 0.0000e+00
8.9184e-01 4.3139e+01 -3.0772e+01 -9.3186e+00 1.1306e+02 1.6016e+02 6.6107e+01 1.0469e+02 1.6007e+02 -4.4586e+01 -1.3325e+01 3.9148e+01 4.9292e+01 0.0000e+00 0.0000e+00
9.6696e-01 3.3787e+01 -2.8720e+01 -9.0866e+00 8.2441e+01 1.3177e+02 5.3616e+01 9.2731e+01 1.3775e+02 -3.9009e+01 -1.1269e+01 3.3212e+01 4.3164e+01 0.0000e+00 0.0000e+00
